#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	volIntegrate(rhoeps)	volIntegrate(rho)
              137	1.0493922813e-01	1.0493943277e-01
              138	1.0493919215e-01	1.0493939678e-01
              139	1.0493915594e-01	1.0493936057e-01
              140	1.0493911988e-01	1.0493932450e-01
              141	1.0493908360e-01	1.0493928822e-01
              142	1.0493904732e-01	1.0493925194e-01
              143	1.0493901113e-01	1.0493921575e-01
              144	1.0493897496e-01	1.0493917957e-01
              145	1.0493893882e-01	1.0493914343e-01
              146	1.0493890271e-01	1.0493910732e-01
              147	1.0493886664e-01	1.0493907124e-01
              148	1.0493883060e-01	1.0493903520e-01
              149	1.0493879455e-01	1.0493899915e-01
              150	1.0493875864e-01	1.0493896324e-01
              151	1.0493872295e-01	1.0493892755e-01
              152	1.0493868734e-01	1.0493889194e-01
              153	1.0493865183e-01	1.0493885642e-01
              154	1.0493861643e-01	1.0493882102e-01
              155	1.0493858112e-01	1.0493878570e-01
              156	1.0493854590e-01	1.0493875048e-01
              157	1.0493851086e-01	1.0493871544e-01
              158	1.0493847585e-01	1.0493868043e-01
              159	1.0493844095e-01	1.0493864553e-01
              160	1.0493840639e-01	1.0493861097e-01
              161	1.0493837182e-01	1.0493857640e-01
              162	1.0493833739e-01	1.0493854196e-01
              163	1.0493830309e-01	1.0493850766e-01
              164	1.0493826899e-01	1.0493847356e-01
              165	1.0493823514e-01	1.0493843970e-01
              166	1.0493820133e-01	1.0493840590e-01
              167	1.0493816781e-01	1.0493837237e-01
              168	1.0493813441e-01	1.0493833897e-01
              169	1.0493810111e-01	1.0493830567e-01
              170	1.0493806790e-01	1.0493827245e-01
              171	1.0493803487e-01	1.0493823943e-01
              172	1.0493800202e-01	1.0493820657e-01
              173	1.0493796937e-01	1.0493817392e-01
              174	1.0493793682e-01	1.0493814137e-01
              175	1.0493790430e-01	1.0493810884e-01
              176	1.0493787203e-01	1.0493807658e-01
              177	1.0493783994e-01	1.0493804449e-01
              178	1.0493780800e-01	1.0493801255e-01
              179	1.0493777621e-01	1.0493798075e-01
              180	1.0493774463e-01	1.0493794917e-01
              181	1.0493771306e-01	1.0493791760e-01
              182	1.0493768175e-01	1.0493788628e-01
              183	1.0493765052e-01	1.0493785505e-01
              184	1.0493761957e-01	1.0493782410e-01
              185	1.0493758876e-01	1.0493779330e-01
              186	1.0493755799e-01	1.0493776252e-01
              187	1.0493752750e-01	1.0493773203e-01
              188	1.0493749706e-01	1.0493770159e-01
              189	1.0493746663e-01	1.0493767115e-01
              190	1.0493743647e-01	1.0493764100e-01
              191	1.0493740647e-01	1.0493761099e-01
              192	1.0493737668e-01	1.0493758120e-01
              193	1.0493734700e-01	1.0493755153e-01
              194	1.0493731745e-01	1.0493752198e-01
              195	1.0493728813e-01	1.0493749265e-01
              196	1.0493725882e-01	1.0493746334e-01
              197	1.0493722955e-01	1.0493743406e-01
              198	1.0493720072e-01	1.0493740524e-01
              199	1.0493717176e-01	1.0493737628e-01
              200	1.0493714292e-01	1.0493734744e-01
              201	1.0493711427e-01	1.0493731878e-01
              202	1.0493708590e-01	1.0493729041e-01
              203	1.0493705766e-01	1.0493726217e-01
              204	1.0493702950e-01	1.0493723401e-01
              205	1.0493700145e-01	1.0493720596e-01
              206	1.0493697363e-01	1.0493717814e-01
              207	1.0493694590e-01	1.0493715040e-01
              208	1.0493691839e-01	1.0493712290e-01
              209	1.0493689097e-01	1.0493709547e-01
              210	1.0493686360e-01	1.0493706810e-01
              211	1.0493683630e-01	1.0493704080e-01
              212	1.0493680922e-01	1.0493701372e-01
              213	1.0493678229e-01	1.0493698679e-01
              214	1.0493675552e-01	1.0493696002e-01
              215	1.0493672878e-01	1.0493693328e-01
              216	1.0493670224e-01	1.0493690673e-01
              217	1.0493667570e-01	1.0493688019e-01
              218	1.0493664937e-01	1.0493685386e-01
              219	1.0493662302e-01	1.0493682751e-01
              220	1.0493659694e-01	1.0493680143e-01
              221	1.0493657090e-01	1.0493677540e-01
              222	1.0493654495e-01	1.0493674945e-01
              223	1.0493651915e-01	1.0493672364e-01
              224	1.0493649352e-01	1.0493669801e-01
              225	1.0493646779e-01	1.0493667229e-01
              226	1.0493644233e-01	1.0493664682e-01
              227	1.0493641704e-01	1.0493662153e-01
              228	1.0493639176e-01	1.0493659625e-01
              229	1.0493636664e-01	1.0493657112e-01
              230	1.0493634149e-01	1.0493654598e-01
              231	1.0493631660e-01	1.0493652108e-01
              232	1.0493629182e-01	1.0493649631e-01
              233	1.0493626704e-01	1.0493647153e-01
              234	1.0493624236e-01	1.0493644685e-01
              235	1.0493621780e-01	1.0493642228e-01
              236	1.0493619325e-01	1.0493639774e-01
              237	1.0493616889e-01	1.0493637338e-01
              238	1.0493614472e-01	1.0493634921e-01
              239	1.0493612057e-01	1.0493632506e-01
              240	1.0493609650e-01	1.0493630098e-01
              241	1.0493607260e-01	1.0493627708e-01
              242	1.0493604872e-01	1.0493625320e-01
              243	1.0493602501e-01	1.0493622949e-01
              244	1.0493600140e-01	1.0493620588e-01
              245	1.0493597776e-01	1.0493618224e-01
              246	1.0493595421e-01	1.0493615869e-01
              247	1.0493593075e-01	1.0493613523e-01
              248	1.0493590746e-01	1.0493611194e-01
              249	1.0493588419e-01	1.0493608867e-01
              250	1.0493586114e-01	1.0493606562e-01
              251	1.0493583804e-01	1.0493604252e-01
              252	1.0493581509e-01	1.0493601957e-01
              253	1.0493579224e-01	1.0493599672e-01
              254	1.0493576950e-01	1.0493597398e-01
              255	1.0493574669e-01	1.0493595117e-01
              256	1.0493572414e-01	1.0493592862e-01
              257	1.0493570167e-01	1.0493590615e-01
              258	1.0493567919e-01	1.0493588367e-01
              259	1.0493565678e-01	1.0493586126e-01
              260	1.0493563449e-01	1.0493583897e-01
              261	1.0493561229e-01	1.0493581676e-01
              262	1.0493559012e-01	1.0493579460e-01
              263	1.0493556798e-01	1.0493577246e-01
              264	1.0493554599e-01	1.0493575047e-01
