#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(H2)	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)	weightedVolAverage(H2O)
               30	2.1703161476e-03	6.3344190114e-02	3.3142613084e-01	6.0304048987e-01	1.8873028322e-05
               31	2.1702468140e-03	6.3350331831e-02	3.3142118181e-01	6.0303880255e-01	1.9437003150e-05
               32	2.1701777920e-03	6.3356436304e-02	3.3141626246e-01	6.0303712493e-01	1.9998512174e-05
               33	2.1701091171e-03	6.3362500584e-02	3.3141137518e-01	6.0303545786e-01	2.0557264748e-05
               34	2.1700408273e-03	6.3368521500e-02	3.3140652253e-01	6.0303380220e-01	2.1112951097e-05
               35	2.1699729626e-03	6.3374495686e-02	3.3140170722e-01	6.0303215888e-01	2.1665244704e-05
               36	2.1699055647e-03	6.3380419602e-02	3.3139693212e-01	6.0303052891e-01	2.2213804702e-05
               37	2.1698386771e-03	6.3386289550e-02	3.3139220021e-01	6.0302891328e-01	2.2758277121e-05
               38	2.1697723443e-03	6.3392101711e-02	3.3138751457e-01	6.0302731307e-01	2.3298298474e-05
               39	2.1697066117e-03	6.3397852170e-02	3.3138287836e-01	6.0302572936e-01	2.3833498440e-05
               40	2.1696415254e-03	6.3403536938e-02	3.3137829480e-01	6.0302416324e-01	2.4363501565e-05
               41	2.1695771318e-03	6.3409151990e-02	3.3137376713e-01	6.0302261582e-01	2.4887930700e-05
               42	2.1695134770e-03	6.3414693296e-02	3.3136929860e-01	6.0302108822e-01	2.5406410227e-05
               43	2.1694506065e-03	6.3420156853e-02	3.3136489243e-01	6.0301958154e-01	2.5918568557e-05
               44	2.1693885655e-03	6.3425538698e-02	3.3136055183e-01	6.0301809687e-01	2.6424039170e-05
               45	2.1693273978e-03	6.3430834960e-02	3.3135627991e-01	6.0301663527e-01	2.6922465340e-05
               46	2.1692671460e-03	6.3436041861e-02	3.3135207971e-01	6.0301519778e-01	2.7413500193e-05
               47	2.1692078512e-03	6.3441155765e-02	3.3134795417e-01	6.0301378540e-01	2.7896810590e-05
               48	2.1691495523e-03	6.3446173189e-02	3.3134390610e-01	6.0301239908e-01	2.8372078669e-05
               49	2.1690922864e-03	6.3451090828e-02	3.3133993814e-01	6.0301103974e-01	2.8839003660e-05
               50	2.1690360883e-03	6.3455905575e-02	3.3133605281e-01	6.0300970822e-01	2.9297302930e-05
               51	2.1689809902e-03	6.3460614531e-02	3.3133225245e-01	6.0300840532e-01	2.9746713583e-05
               52	2.1689270221e-03	6.3465215029e-02	3.3132853919e-01	6.0300713176e-01	3.0186993855e-05
               53	2.1688742108e-03	6.3469704640e-02	3.3132491500e-01	6.0300588822e-01	3.0617923922e-05
               54	2.1688225806e-03	6.3474081194e-02	3.3132138163e-01	6.0300467529e-01	3.1039307139e-05
               55	2.1687721530e-03	6.3478342766e-02	3.3131794061e-01	6.0300349350e-01	3.1450969167e-05
               56	2.1687229464e-03	6.3482487701e-02	3.3131459330e-01	6.0300234329e-01	3.1852759308e-05
               57	2.1686749765e-03	6.3486514608e-02	3.3131134081e-01	6.0300122506e-01	3.2244550932e-05
               58	2.1686282560e-03	6.3490422358e-02	3.3130818404e-01	6.0300013910e-01	3.2626239910e-05
               59	2.1685827948e-03	6.3494210094e-02	3.3130512370e-01	6.0299908567e-01	3.2997746387e-05
               60	2.1685385992e-03	6.3497877271e-02	3.3130216021e-01	6.0299806490e-01	3.3359018201e-05
               61	2.1684956738e-03	6.3501423523e-02	3.3129929389e-01	6.0299707690e-01	3.3710017986e-05
               62	2.1684540205e-03	6.3504848731e-02	3.3129652482e-01	6.0299612170e-01	3.4050729715e-05
               63	2.1684136383e-03	6.3508153049e-02	3.3129385288e-01	6.0299519927e-01	3.4381161296e-05
               64	2.1683745236e-03	6.3511336863e-02	3.3129127777e-01	6.0299430950e-01	3.4701340467e-05
               65	2.1683366707e-03	6.3514400790e-02	3.3128879899e-01	6.0299345223e-01	3.5011314552e-05
               66	2.1683000712e-03	6.3517345659e-02	3.3128641588e-01	6.0299262724e-01	3.5311149364e-05
               67	2.1682647150e-03	6.3520172499e-02	3.3128412761e-01	6.0299183425e-01	3.5600927311e-05
               68	2.1682305897e-03	6.3522882535e-02	3.3128193321e-01	6.0299107292e-01	3.5880747851e-05
               69	2.1681976812e-03	6.3525477173e-02	3.3127983153e-01	6.0299034289e-01	3.6150725211e-05
               70	2.1681659734e-03	6.3527957985e-02	3.3127782133e-01	6.0298964372e-01	3.6410988065e-05
               71	2.1681354488e-03	6.3530326698e-02	3.3127590122e-01	6.0298897496e-01	3.6661678047e-05
               72	2.1681060885e-03	6.3532585175e-02	3.3127406970e-01	6.0298833609e-01	3.6902947885e-05
               73	2.1680778721e-03	6.3534735410e-02	3.3127232517e-01	6.0298772659e-01	3.7134961147e-05
               74	2.1680507781e-03	6.3536779517e-02	3.3127066593e-01	6.0298714588e-01	3.7357892118e-05
               75	2.1680247839e-03	6.3538719709e-02	3.3126909022e-01	6.0298659337e-01	3.7571922479e-05
               76	2.1679998661e-03	6.3540558293e-02	3.3126759617e-01	6.0298606843e-01	3.7777242174e-05
               77	2.1679760002e-03	6.3542297652e-02	3.3126618188e-01	6.0298557042e-01	3.7974047186e-05
               78	2.1679531613e-03	6.3543940242e-02	3.3126484538e-01	6.0298509868e-01	3.8162539376e-05
               79	2.1679313238e-03	6.3545488575e-02	3.3126358465e-01	6.0298465253e-01	3.8342925573e-05
               80	2.1679104614e-03	6.3546945208e-02	3.3126239763e-01	6.0298423128e-01	3.8515415999e-05
               81	2.1678905480e-03	6.3548312730e-02	3.3126128226e-01	6.0298383424e-01	3.8680223325e-05
               82	2.1678715569e-03	6.3549593756e-02	3.3126023642e-01	6.0298346070e-01	3.8837562592e-05
               83	2.1678534610e-03	6.3550790931e-02	3.3125925801e-01	6.0298310995e-01	3.8987651201e-05
               84	2.1678362335e-03	6.3551906897e-02	3.3125834489e-01	6.0298278127e-01	3.9130706319e-05
               85	2.1678198473e-03	6.3552944302e-02	3.3125749495e-01	6.0298247395e-01	3.9266945456e-05
               86	2.1678042757e-03	6.3553905790e-02	3.3125670606e-01	6.0298218729e-01	3.9396585550e-05
               87	2.1677894918e-03	6.3554793989e-02	3.3125597611e-01	6.0298192056e-01	3.9519842620e-05
               88	2.1677754690e-03	6.3555611506e-02	3.3125530302e-01	6.0298167308e-01	3.9636930529e-05
               89	2.1677621813e-03	6.3556360921e-02	3.3125468470e-01	6.0298144414e-01	3.9748060994e-05
               90	2.1677496024e-03	6.3557044794e-02	3.3125411911e-01	6.0298123305e-01	3.9853443979e-05
               91	2.1677377069e-03	6.3557665640e-02	3.3125360423e-01	6.0298103914e-01	3.9953286071e-05
               92	2.1677264694e-03	6.3558225937e-02	3.3125313807e-01	6.0298086173e-01	4.0047790506e-05
               93	2.1677158653e-03	6.3558728119e-02	3.3125271867e-01	6.0298070019e-01	4.0137157090e-05
               94	2.1677058702e-03	6.3559174578e-02	3.3125234412e-01	6.0298055385e-01	4.0221582020e-05
               95	2.1676964602e-03	6.3559567653e-02	3.3125201254e-01	6.0298042209e-01	4.0301257444e-05
               96	2.1676876123e-03	6.3559909626e-02	3.3125172210e-01	6.0298030429e-01	4.0376370658e-05
               97	2.1676793035e-03	6.3560202733e-02	3.3125147100e-01	6.0298019986e-01	4.0447105028e-05
               98	2.1676715118e-03	6.3560449150e-02	3.3125125750e-01	6.0298010820e-01	4.0513639473e-05
               99	2.1676642157e-03	6.3560650993e-02	3.3125107990e-01	6.0298002875e-01	4.0576147730e-05
              100	2.1676573940e-03	6.3560810324e-02	3.3125093654e-01	6.0297996094e-01	4.0634799379e-05
              101	2.1676510264e-03	6.3560929143e-02	3.3125082582e-01	6.0297990425e-01	4.0689758863e-05
              102	2.1676450931e-03	6.3561009391e-02	3.3125074618e-01	6.0297985815e-01	4.0741185795e-05
              103	2.1676395751e-03	6.3561052940e-02	3.3125069612e-01	6.0297982213e-01	4.0789234122e-05
              104	2.1676344537e-03	6.3561061611e-02	3.3125067418e-01	6.0297979571e-01	4.0834053790e-05
              105	2.1676297110e-03	6.3561037161e-02	3.3125067894e-01	6.0297977840e-01	4.0875789750e-05
              106	2.1676253296e-03	6.3560981287e-02	3.3125070905e-01	6.0297976975e-01	4.0914582040e-05
              107	2.1676212929e-03	6.3560895626e-02	3.3125076319e-01	6.0297976933e-01	4.0950565743e-05
              108	2.1676175846e-03	6.3560781752e-02	3.3125084009e-01	6.0297977670e-01	4.0983871026e-05
              109	2.1676141892e-03	6.3560641184e-02	3.3125093854e-01	6.0297979146e-01	4.1014623287e-05
              110	2.1676110917e-03	6.3560475385e-02	3.3125105737e-01	6.0297981321e-01	4.1042943941e-05
              111	2.1676082778e-03	6.3560285753e-02	3.3125119544e-01	6.0297984158e-01	4.1068948761e-05
              112	2.1676057335e-03	6.3560073637e-02	3.3125135168e-01	6.0297987620e-01	4.1092749604e-05
              113	2.1676034456e-03	6.3559840328e-02	3.3125152506e-01	6.0297991671e-01	4.1114454026e-05
              114	2.1676014014e-03	6.3559587065e-02	3.3125171457e-01	6.0297996280e-01	4.1134165122e-05
              115	2.1675995885e-03	6.3559315033e-02	3.3125191926e-01	6.0298001414e-01	4.1151981557e-05
              116	2.1675979952e-03	6.3559025369e-02	3.3125213823e-01	6.0298007041e-01	4.1167998418e-05
              117	2.1675966103e-03	6.3558719158e-02	3.3125237059e-01	6.0298013133e-01	4.1182306519e-05
              118	2.1675954231e-03	6.3558397437e-02	3.3125261552e-01	6.0298019662e-01	4.1194992688e-05
              119	2.1675944231e-03	6.3558061202e-02	3.3125287222e-01	6.0298026601e-01	4.1206140743e-05
              120	2.1675936005e-03	6.3557711392e-02	3.3125313993e-01	6.0298033924e-01	4.1215829711e-05
              121	2.1675929461e-03	6.3557348911e-02	3.3125341793e-01	6.0298041608e-01	4.1224135689e-05
              122	2.1675924507e-03	6.3556974615e-02	3.3125370553e-01	6.0298049627e-01	4.1231131029e-05
              123	2.1675921060e-03	6.3556589319e-02	3.3125400207e-01	6.0298057962e-01	4.1236884817e-05
              124	2.1675919036e-03	6.3556193802e-02	3.3125430693e-01	6.0298066590e-01	4.1241463357e-05
              125	2.1675918357e-03	6.3555788808e-02	3.3125461951e-01	6.0298075492e-01	4.1244930116e-05
              126	2.1675918950e-03	6.3555375036e-02	3.3125493924e-01	6.0298084648e-01	4.1247344916e-05
              127	2.1675920743e-03	6.3554953154e-02	3.3125526560e-01	6.0298094041e-01	4.1248765000e-05
              128	2.1675923670e-03	6.3554523793e-02	3.3125559807e-01	6.0298103653e-01	4.1249244792e-05
              129	2.1675927666e-03	6.3554087560e-02	3.3125593617e-01	6.0298113467e-01	4.1248836654e-05
              130	2.1675932670e-03	6.3553645021e-02	3.3125627943e-01	6.0298123469e-01	4.1247589717e-05
              131	2.1675938623e-03	6.3553196717e-02	3.3125662743e-01	6.0298133643e-01	4.1245551114e-05
              132	2.1675945473e-03	6.3552743155e-02	3.3125697976e-01	6.0298143977e-01	4.1242764965e-05
              133	2.1675953156e-03	6.3552284782e-02	3.3125733587e-01	6.0298154426e-01	4.1239770453e-05
              134	2.1675961631e-03	6.3551822090e-02	3.3125769554e-01	6.0298165006e-01	4.1236149259e-05
              135	2.1675970852e-03	6.3551355506e-02	3.3125805842e-01	6.0298175705e-01	4.1231937036e-05
              136	2.1675980774e-03	6.3550885442e-02	3.3125842418e-01	6.0298186513e-01	4.1227165519e-05
              137	2.1675991354e-03	6.3550412278e-02	3.3125879253e-01	6.0298197419e-01	4.1221865764e-05
              138	2.1676002554e-03	6.3549936381e-02	3.3125916316e-01	6.0298208414e-01	4.1216067136e-05
              139	2.1676014334e-03	6.3549458090e-02	3.3125953580e-01	6.0298219488e-01	4.1209797556e-05
              140	2.1676026659e-03	6.3548977727e-02	3.3125991020e-01	6.0298230632e-01	4.1203083291e-05
              141	2.1676039494e-03	6.3548495596e-02	3.3126028611e-01	6.0298241839e-01	4.1195949309e-05
              142	2.1676052807e-03	6.3548011980e-02	3.3126066331e-01	6.0298253101e-01	4.1188419799e-05
              143	2.1676066568e-03	6.3547527144e-02	3.3126104158e-01	6.0298264410e-01	4.1180517340e-05
              144	2.1676080749e-03	6.3547041343e-02	3.3126142071e-01	6.0298275761e-01	4.1172263247e-05
              145	2.1676095321e-03	6.3546554810e-02	3.3126180053e-01	6.0298287145e-01	4.1163678080e-05
              146	2.1676110258e-03	6.3546067766e-02	3.3126218084e-01	6.0298298558e-01	4.1154781142e-05
              147	2.1676125538e-03	6.3545580417e-02	3.3126256149e-01	6.0298309995e-01	4.1145590187e-05
              148	2.1676141137e-03	6.3545092953e-02	3.3126294233e-01	6.0298321448e-01	4.1136122954e-05
              149	2.1676157032e-03	6.3544605560e-02	3.3126332320e-01	6.0298332915e-01	4.1126395943e-05
              150	2.1676173204e-03	6.3544118403e-02	3.3126370396e-01	6.0298344389e-01	4.1116424136e-05
              151	2.1676189633e-03	6.3543631642e-02	3.3126408450e-01	6.0298355867e-01	4.1106222864e-05
              152	2.1676206301e-03	6.3543145422e-02	3.3126446470e-01	6.0298367345e-01	4.1095805835e-05
              153	2.1676223190e-03	6.3542659881e-02	3.3126484443e-01	6.0298378818e-01	4.1085186395e-05
              154	2.1676240285e-03	6.3542175146e-02	3.3126522361e-01	6.0298390284e-01	4.1074376842e-05
              155	2.1676257570e-03	6.3541691333e-02	3.3126560213e-01	6.0298401739e-01	4.1063388583e-05
              156	2.1676275031e-03	6.3541208554e-02	3.3126597991e-01	6.0298413180e-01	4.1052233564e-05
              157	2.1676292653e-03	6.3540726912e-02	3.3126635687e-01	6.0298424604e-01	4.1040921328e-05
              158	2.1676310425e-03	6.3540246499e-02	3.3126673292e-01	6.0298436008e-01	4.1029462441e-05
              159	2.1676328334e-03	6.3539767398e-02	3.3126710800e-01	6.0298447391e-01	4.1017865891e-05
              160	2.1676346370e-03	6.3539289693e-02	3.3126748204e-01	6.0298458749e-01	4.1006140344e-05
              161	2.1676364520e-03	6.3538813458e-02	3.3126785499e-01	6.0298470081e-01	4.0994294064e-05
              162	2.1676382776e-03	6.3538338763e-02	3.3126822678e-01	6.0298481385e-01	4.0982335756e-05
              163	2.1676401129e-03	6.3537865663e-02	3.3126859737e-01	6.0298492658e-01	4.0970271226e-05
              164	2.1676419569e-03	6.3537394217e-02	3.3126896671e-01	6.0298503900e-01	4.0958108507e-05
              165	2.1676438088e-03	6.3536924479e-02	3.3126933477e-01	6.0298515109e-01	4.0945854040e-05
              166	2.1676456677e-03	6.3536456498e-02	3.3126970149e-01	6.0298526283e-01	4.0933513937e-05
              167	2.1676475331e-03	6.3535990313e-02	3.3127006684e-01	6.0298537422e-01	4.0921093752e-05
              168	2.1676494042e-03	6.3535525960e-02	3.3127043081e-01	6.0298548523e-01	4.0908598994e-05
              169	2.1676512804e-03	6.3535063475e-02	3.3127079335e-01	6.0298559586e-01	4.0896034879e-05
              170	2.1676531610e-03	6.3534602894e-02	3.3127115444e-01	6.0298570610e-01	4.0883406620e-05
              171	2.1676550455e-03	6.3534144241e-02	3.3127151405e-01	6.0298581594e-01	4.0870718090e-05
              172	2.1676569334e-03	6.3533687540e-02	3.3127187217e-01	6.0298592538e-01	4.0857974014e-05
              173	2.1676588259e-03	6.3533232870e-02	3.3127222906e-01	6.0298603490e-01	4.0844342995e-05
              174	2.1676607191e-03	6.3532780135e-02	3.3127258414e-01	6.0298614350e-01	4.0831500586e-05
              175	2.1676626143e-03	6.3532329408e-02	3.3127293769e-01	6.0298625168e-01	4.0818614276e-05
              176	2.1676645129e-03	6.3531880756e-02	3.3127328995e-01	6.0298635992e-01	4.0804852432e-05
              177	2.1676664108e-03	6.3531434084e-02	3.3127364038e-01	6.0298646723e-01	4.0791890817e-05
              178	2.1676683114e-03	6.3530989507e-02	3.3127398952e-01	6.0298657460e-01	4.0778060965e-05
              179	2.1676702107e-03	6.3530546922e-02	3.3127433680e-01	6.0298668103e-01	4.0765036720e-05
              180	2.1676721103e-03	6.3530106395e-02	3.3127468250e-01	6.0298678701e-01	4.0751984575e-05
              181	2.1676740115e-03	6.3529667980e-02	3.3127502689e-01	6.0298689304e-01	4.0738072493e-05
              182	2.1676759106e-03	6.3529231567e-02	3.3127536942e-01	6.0298699813e-01	4.0724973795e-05
              183	2.1676778108e-03	6.3528797274e-02	3.3127571063e-01	6.0298710326e-01	4.0711021468e-05
              184	2.1676797085e-03	6.3528364984e-02	3.3127604998e-01	6.0298720744e-01	4.0697886114e-05
              185	2.1676816051e-03	6.3527934748e-02	3.3127638774e-01	6.0298731117e-01	4.0684733938e-05
              186	2.1676835023e-03	6.3527506621e-02	3.3127672420e-01	6.0298741495e-01	4.0670733815e-05
              187	2.1676853964e-03	6.3527080486e-02	3.3127705879e-01	6.0298751777e-01	4.0657555848e-05
              188	2.1676872906e-03	6.3526656449e-02	3.3127739208e-01	6.0298762064e-01	4.0643535230e-05
              189	2.1676891812e-03	6.3526234398e-02	3.3127772352e-01	6.0298772256e-01	4.0630339398e-05
              190	2.1676910699e-03	6.3525814379e-02	3.3127805339e-01	6.0298782403e-01	4.0617135684e-05
              191	2.1676929566e-03	6.3525396380e-02	3.3127838169e-01	6.0298792505e-01	4.0603924936e-05
              192	2.1676948429e-03	6.3524980449e-02	3.3127870871e-01	6.0298802612e-01	4.0589877398e-05
              193	2.1676967251e-03	6.3524566467e-02	3.3127903391e-01	6.0298812624e-01	4.0576659453e-05
              194	2.1676986050e-03	6.3524154479e-02	3.3127935756e-01	6.0298822592e-01	4.0563437857e-05
              195	2.1677004823e-03	6.3523744474e-02	3.3127967968e-01	6.0298832515e-01	4.0550214400e-05
              196	2.1677023589e-03	6.3523336496e-02	3.3128000054e-01	6.0298842444e-01	4.0536160448e-05
              197	2.1677042311e-03	6.3522930423e-02	3.3128031961e-01	6.0298852279e-01	4.0522938386e-05
              198	2.1677061004e-03	6.3522526300e-02	3.3128063717e-01	6.0298862071e-01	4.0509717474e-05
              199	2.1677079670e-03	6.3522124110e-02	3.3128095324e-01	6.0298871819e-01	4.0496497851e-05
              200	2.1677098308e-03	6.3521723843e-02	3.3128126781e-01	6.0298881524e-01	4.0483281139e-05
              201	2.1677116917e-03	6.3521325486e-02	3.3128158090e-01	6.0298891185e-01	4.0470067735e-05
              202	2.1677135495e-03	6.3520929030e-02	3.3128189252e-01	6.0298900804e-01	4.0456858409e-05
              203	2.1677154043e-03	6.3520534455e-02	3.3128220268e-01	6.0298910381e-01	4.0443653348e-05
              204	2.1677172561e-03	6.3520141750e-02	3.3128251139e-01	6.0298919915e-01	4.0430453496e-05
              205	2.1677191048e-03	6.3519750900e-02	3.3128281866e-01	6.0298929408e-01	4.0417259564e-05
              206	2.1677209503e-03	6.3519361898e-02	3.3128312449e-01	6.0298938858e-01	4.0404072572e-05
              207	2.1677227926e-03	6.3518974723e-02	3.3128342891e-01	6.0298948268e-01	4.0390892140e-05
              208	2.1677246318e-03	6.3518589364e-02	3.3128373192e-01	6.0298957636e-01	4.0377719541e-05
              209	2.1677264677e-03	6.3518205805e-02	3.3128403354e-01	6.0298966964e-01	4.0364555188e-05
              210	2.1677283004e-03	6.3517824032e-02	3.3128433376e-01	6.0298976251e-01	4.0351399512e-05
              211	2.1677301298e-03	6.3517444031e-02	3.3128463261e-01	6.0298985497e-01	4.0338253152e-05
              212	2.1677319559e-03	6.3517065789e-02	3.3128493010e-01	6.0298994704e-01	4.0325116624e-05
              213	2.1677337788e-03	6.3516689291e-02	3.3128522623e-01	6.0299003871e-01	4.0311990203e-05
              214	2.1677355984e-03	6.3516314518e-02	3.3128552102e-01	6.0299012999e-01	4.0298873898e-05
              215	2.1677374147e-03	6.3515941462e-02	3.3128581448e-01	6.0299022088e-01	4.0285768807e-05
              216	2.1677392277e-03	6.3515570103e-02	3.3128610662e-01	6.0299031138e-01	4.0272674544e-05
              217	2.1677410374e-03	6.3515200429e-02	3.3128639745e-01	6.0299040150e-01	4.0259592297e-05
              218	2.1677428437e-03	6.3514832427e-02	3.3128668698e-01	6.0299049123e-01	4.0246522246e-05
              219	2.1677446468e-03	6.3514466081e-02	3.3128697522e-01	6.0299058059e-01	4.0233464424e-05
              220	2.1677464466e-03	6.3514101377e-02	3.3128726219e-01	6.0299066957e-01	4.0220419244e-05
              221	2.1677482430e-03	6.3513738303e-02	3.3128754789e-01	6.0299075818e-01	4.0207387227e-05
              222	2.1677500362e-03	6.3513376843e-02	3.3128783233e-01	6.0299084642e-01	4.0194368229e-05
              223	2.1677518261e-03	6.3513016984e-02	3.3128811553e-01	6.0299093430e-01	4.0181362502e-05
              224	2.1677536126e-03	6.3512658711e-02	3.3128839750e-01	6.0299102181e-01	4.0168370466e-05
              225	2.1677553959e-03	6.3512302011e-02	3.3128867824e-01	6.0299110896e-01	4.0155392497e-05
              226	2.1677571759e-03	6.3511946872e-02	3.3128895777e-01	6.0299119575e-01	4.0142428275e-05
              227	2.1677589527e-03	6.3511593277e-02	3.3128923610e-01	6.0299128219e-01	4.0129478220e-05
              228	2.1677607262e-03	6.3511241213e-02	3.3128951324e-01	6.0299136828e-01	4.0116542466e-05
              229	2.1677624964e-03	6.3510890668e-02	3.3128978920e-01	6.0299145402e-01	4.0103620790e-05
              230	2.1677642635e-03	6.3510541627e-02	3.3129006398e-01	6.0299153941e-01	4.0090713415e-05
              231	2.1677660272e-03	6.3510194080e-02	3.3129033761e-01	6.0299162446e-01	4.0077821079e-05
              232	2.1677677878e-03	6.3509848011e-02	3.3129061008e-01	6.0299170918e-01	4.0064942738e-05
              233	2.1677695452e-03	6.3509503408e-02	3.3129088142e-01	6.0299179355e-01	4.0052079198e-05
              234	2.1677712994e-03	6.3509160260e-02	3.3129115162e-01	6.0299187759e-01	4.0039230553e-05
              235	2.1677730504e-03	6.3508818552e-02	3.3129142070e-01	6.0299196130e-01	4.0026396160e-05
              236	2.1677747983e-03	6.3508478269e-02	3.3129168867e-01	6.0299204468e-01	4.0013576319e-05
              237	2.1677765431e-03	6.3508139404e-02	3.3129195554e-01	6.0299212774e-01	4.0000771439e-05
              238	2.1677782847e-03	6.3507801943e-02	3.3129222132e-01	6.0299221047e-01	3.9987981188e-05
              239	2.1677800232e-03	6.3507465871e-02	3.3129248601e-01	6.0299229289e-01	3.9975205465e-05
              240	2.1677817586e-03	6.3507131177e-02	3.3129274964e-01	6.0299237498e-01	3.9962444494e-05
              241	2.1677834910e-03	6.3506797851e-02	3.3129301219e-01	6.0299245677e-01	3.9949698048e-05
              242	2.1677852203e-03	6.3506465880e-02	3.3129327370e-01	6.0299253824e-01	3.9936966141e-05
              243	2.1677869465e-03	6.3506135255e-02	3.3129353415e-01	6.0299261940e-01	3.9924248851e-05
              244	2.1677886697e-03	6.3505805960e-02	3.3129379357e-01	6.0299270025e-01	3.9911545888e-05
              245	2.1677903899e-03	6.3505477984e-02	3.3129405197e-01	6.0299278080e-01	3.9898857678e-05
              246	2.1677921071e-03	6.3505151316e-02	3.3129430934e-01	6.0299286105e-01	3.9886183586e-05
              247	2.1677938214e-03	6.3504825947e-02	3.3129456571e-01	6.0299294100e-01	3.9873524013e-05
              248	2.1677955326e-03	6.3504501868e-02	3.3129482107e-01	6.0299302065e-01	3.9860878935e-05
              249	2.1677972409e-03	6.3504179062e-02	3.3129507544e-01	6.0299310001e-01	3.9848247472e-05
              250	2.1677989463e-03	6.3503857521e-02	3.3129532882e-01	6.0299317908e-01	3.9835630867e-05
              251	2.1678006487e-03	6.3503537237e-02	3.3129558123e-01	6.0299325786e-01	3.9823028206e-05
              252	2.1678023483e-03	6.3503218192e-02	3.3129583267e-01	6.0299333635e-01	3.9810439289e-05
              253	2.1678040450e-03	6.3502900382e-02	3.3129608315e-01	6.0299341456e-01	3.9797864662e-05
              254	2.1678057388e-03	6.3502583794e-02	3.3129633268e-01	6.0299349249e-01	3.9785303821e-05
              255	2.1678074298e-03	6.3502268421e-02	3.3129658126e-01	6.0299357013e-01	3.9772757231e-05
              256	2.1678091179e-03	6.3501954250e-02	3.3129682891e-01	6.0299364750e-01	3.9760224583e-05
              257	2.1678108032e-03	6.3501641269e-02	3.3129707563e-01	6.0299372460e-01	3.9747705492e-05
              258	2.1678124857e-03	6.3501329474e-02	3.3129732142e-01	6.0299380142e-01	3.9735200479e-05
              259	2.1678141654e-03	6.3501018852e-02	3.3129756631e-01	6.0299387797e-01	3.9722709191e-05
              260	2.1678158424e-03	6.3500709392e-02	3.3129781029e-01	6.0299395425e-01	3.9710231621e-05
