#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)
               95	5.7203394462e-04	3.9955274743e-01	5.9987521862e-01
               96	5.7262487308e-04	3.9955228532e-01	5.9987508980e-01
               97	5.7314775856e-04	3.9955187642e-01	5.9987497583e-01
               98	5.7360557307e-04	3.9955151839e-01	5.9987487604e-01
               99	5.7400121436e-04	3.9955120898e-01	5.9987478981e-01
              100	5.7433749654e-04	3.9955094598e-01	5.9987471653e-01
              101	5.7461715999e-04	3.9955072725e-01	5.9987465559e-01
              102	5.7484286078e-04	3.9955055071e-01	5.9987460643e-01
              103	5.7501716967e-04	3.9955041436e-01	5.9987456847e-01
              104	5.7514256929e-04	3.9955031625e-01	5.9987454118e-01
              105	5.7522146903e-04	3.9955025450e-01	5.9987452403e-01
              106	5.7525620410e-04	3.9955022729e-01	5.9987451651e-01
              107	5.7524901203e-04	3.9955023286e-01	5.9987451813e-01
              108	5.7520205006e-04	3.9955026952e-01	5.9987452843e-01
              109	5.7511740009e-04	3.9955033566e-01	5.9987454694e-01
              110	5.7499706401e-04	3.9955042969e-01	5.9987457324e-01
              111	5.7484296818e-04	3.9955055013e-01	5.9987460690e-01
              112	5.7465696567e-04	3.9955069551e-01	5.9987464752e-01
              113	5.7444083024e-04	3.9955086446e-01	5.9987469471e-01
              114	5.7419626352e-04	3.9955105564e-01	5.9987474810e-01
              115	5.7392489159e-04	3.9955126777e-01	5.9987480733e-01
              116	5.7362827335e-04	3.9955149965e-01	5.9987487207e-01
              117	5.7330789789e-04	3.9955175011e-01	5.9987494199e-01
              118	5.7296520358e-04	3.9955201801e-01	5.9987501678e-01
              119	5.7260155167e-04	3.9955230231e-01	5.9987509614e-01
              120	5.7221823601e-04	3.9955260198e-01	5.9987517978e-01
              121	5.7181649848e-04	3.9955291606e-01	5.9987526745e-01
              122	5.7139752613e-04	3.9955324361e-01	5.9987535887e-01
              123	5.7096244344e-04	3.9955358376e-01	5.9987545380e-01
              124	5.7051232596e-04	3.9955393566e-01	5.9987555201e-01
              125	5.7004819276e-04	3.9955429853e-01	5.9987565328e-01
              126	5.6957101712e-04	3.9955467159e-01	5.9987575739e-01
              127	5.6908171936e-04	3.9955505414e-01	5.9987586414e-01
              128	5.6858116963e-04	3.9955544548e-01	5.9987597335e-01
              129	5.6807020498e-04	3.9955584496e-01	5.9987608483e-01
              130	5.6754961800e-04	3.9955625198e-01	5.9987619841e-01
              131	5.6702014960e-04	3.9955666593e-01	5.9987631392e-01
              132	5.6648250432e-04	3.9955708628e-01	5.9987643122e-01
              133	5.6593735775e-04	3.9955751250e-01	5.9987655015e-01
              134	5.6538534470e-04	3.9955794408e-01	5.9987667057e-01
              135	5.6482706233e-04	3.9955838057e-01	5.9987679237e-01
              136	5.6426307797e-04	3.9955882152e-01	5.9987691541e-01
              137	5.6369392713e-04	3.9955926650e-01	5.9987703957e-01
