#time dij1 dij2 dij3 dik1 dik2 dik3 p_fe p_w p_m p_h
110 0.000169964874078481 6.03120148151399e-05 1.13405590062398e-05 0.000117827783663078 4.18111944369651e-05 7.86184678621539e-06 0.598 0.2122 0.0399 0.02
120 0.000168940287560521 5.99484408032484e-05 1.12721961265297e-05 0.000117627483651886 4.17401180784785e-05 7.84848228714087e-06 0.598 0.2122 0.0399 0.02
130 0.000168976292221197 5.99612170390268e-05 1.12745984441902e-05 0.000117632679450121 4.17419618048758e-05 7.84882896331077e-06 0.598 0.2122 0.0399 0.02
140 0.000169107415432168 6.0007746044659e-05 1.12833473005744e-05 0.000117656518884979 4.17504212163756e-05 7.85041958781049e-06 0.598 0.2122 0.0399 0.02
150 0.000169233175967817 6.00523721076433e-05 1.12917383463476e-05 0.000117679423064679 4.17585487530515e-05 7.85194780983391e-06 0.598 0.2122 0.0399 0.02
160 0.000169346337578439 6.00925274484025e-05 1.12992887615045e-05 0.00011770000456096 4.17658520866819e-05 7.85332105682662e-06 0.598 0.2122 0.0399 0.02
170 0.000169448873476233 6.01289122602954e-05 1.13061302035145e-05 0.000117718645054539 4.17724666564769e-05 7.854564795445e-06 0.598 0.2122 0.0399 0.02
180 0.000169542724675755 6.01622153113631e-05 1.13123921815428e-05 0.000117735708968286 4.17785217777094e-05 7.85570334086054e-06 0.598 0.2122 0.0399 0.02
190 0.000169629406299011 6.01929742418899e-05 1.13181757881782e-05 0.000117751476660065 4.17841169352271e-05 7.85675539922508e-06 0.598 0.2122 0.0399 0.02
200 0.000169710023510219 6.02215812188437e-05 1.13235547626384e-05 0.000117766149889653 4.17893237233852e-05 7.8577344324367e-06 0.598 0.2122 0.0399 0.02
210 0.000169785384398996 6.02483229924196e-05 1.13285830226086e-05 0.000117779874426241 4.17941938683081e-05 7.85865016656689e-06 0.598 0.2122 0.0399 0.02
220 0.000169856185856368 6.02734468540491e-05 1.13333070663363e-05 0.000117792776471422 4.17987721525682e-05 7.85951102208987e-06 0.598 0.2122 0.0399 0.02
230 0.000169923034089594 6.02971679160732e-05 1.13377673414294e-05 0.000117804966248591 4.18030976888814e-05 7.8603243533759e-06 0.598 0.2122 0.0399 0.02
240 0.000169986223112709 6.03195905092255e-05 1.13419834652125e-05 0.000117816493805661 4.18071882367246e-05 7.86109349974227e-06 0.598 0.2122 0.0399 0.02
250 0.000170046388078108 6.03409400170143e-05 1.13459978165828e-05 0.000117827477995507 4.18110859709809e-05 7.861826391339e-06 0.598 0.2122 0.0399 0.02
260 0.000170103651008289 6.03612597390617e-05 1.13498185371751e-05 0.000117837937149231 4.18147973964327e-05 7.86252425126139e-06 0.598 0.2122 0.0399 0.02
