#time mass rho rad_par
110 0.00361685082092667 5104.46965745161 0.00553049223429149
120 0.00361344560195606 5098.7086876908 0.00553083756793652
130 0.00361013040823044 5093.05021524085 0.00553119251162459
140 0.00360687962232029 5087.46091920512 0.00553155605319486
150 0.00360368411284038 5081.93126147857 0.00553192699136976
160 0.00360053802918843 5076.45598176979 0.00553230424878185
170 0.0035974368885196 5071.03130571975 0.00553268690585885
180 0.00359437704569254 5065.65422760487 0.00553307419035175
190 0.00359135545172382 5060.32223526952 0.00553346545405597
200 0.00358836951034977 5055.03317418381 0.00553386014915605
210 0.0035854169833385 5049.78516809236 0.00553425780888544
220 0.00358249592071457 5044.57656346993 0.00553465803222084
230 0.00357960460817567 5039.40588898716 0.00553506047187113
240 0.00357674152816829 5034.2718270011 0.00553546482484891
250 0.00357390532684105 5029.17318719366 0.00553587082524367
260 0.00357109479002154 5024.1088896772 0.0055362782381484
270 0.00356830882313428 5019.07794934571 0.00553668685513755
280 0.00356554643354003 5014.07946212328 0.0055370964902798
290 0.00356280671825158 5009.11259620583 0.00553750697707905
300 0.00356008885086123 5004.17658081604 0.00553791816590962
310 0.00355739207294706 4999.27070039487 0.00553832992175833
320 0.00355471568681315 4994.39428935281 0.00553874212244195
330 0.00355205904623385 4989.54672313129 0.00553915465714455
340 0.00354942155315021 4984.72741750301 0.00553956742499511
350 0.00354680265066897 4979.93582152731 0.00553998033406494
360 0.00354420181994824 4975.17141612216 0.0055403933003031
370 0.00354161857596944 4970.43371026856 0.00554080624676527
380 0.00353905246372733 4965.72223762334 0.0055412191029064
390 0.00353650305549367 4961.03655443588 0.00554163180394618
400 0.00353396994916375 4956.37623898701 0.0055420442902307
410 0.00353145276543645 4951.74088876758 0.00554245650682383
420 0.00352895114605158 4947.13011927276 0.00554286840304789
430 0.00352646475103673 4942.5435611096 0.00554327993213381
440 0.00352399325937588 4937.9808624893 0.00554369105065002
450 0.00352153636452321 4933.441682372 0.00554410171872357
460 0.00351909377464314 4928.92569245243 0.00554451189943244
470 0.00351666521242422 4924.43257775147 0.00554492155849313
480 0.00351425041240271 4919.96203296946 0.00554533066422875
490 0.0035118491209493 4915.51376331878 0.00554573918725589
500 0.00350946109543504 4911.08748382144 0.00554614710031502
510 0.00350708610341783 4906.68291851354 0.00554655437814602
520 0.00350472392285146 4902.29980164598 0.00554696099715024
530 0.0035023743396598 4897.93787363177 0.00554736693564233
540 0.00350003714798994 4893.59688246968 0.00554777217345112
550 0.00349771214905763 4889.27658213826 0.00554817669191959
560 0.00349539915252416 4884.97673528375 0.00554858047361932
570 0.00349309797461421 4880.69711037547 0.00554898350243307
580 0.00349080843755425 4876.43748115998 0.00554938576346701
590 0.00348853037014495 4872.19762799456 0.00554978724285044
600 0.00348626360686612 4867.97733649432 0.0055501879277762
610 0.00348400798716067 4863.77639671317 0.00555058780643377
620 0.00348176335544978 4859.59460341001 0.00555098686791788
630 0.00347952956110393 4855.43175622857 0.00555138510214596
640 0.00347730645811332 4851.28765929219 0.00555178249983829
650 0.00347509390550768 4847.16212224974 0.00555217905234332
660 0.00347289176594833 4843.05495788049 0.00555257475180255
670 0.00347069990555449 4838.96598215547 0.005552969591036
680 0.00346851819454715 4834.89501542136 0.00555336356343352
690 0.00346634650628763 4830.84188086258 0.00555375666303087
700 0.00346418471830046 4826.80640656177 0.0055541488842671
710 0.00346203271098084 4822.7884231938 0.00555454022217782
720 0.0034598903677699 4818.78776461616 0.00555493067226308
730 0.0034577575748819 4814.80426746304 0.00555532023049757
740 0.00345563422147072 4810.83777154015 0.00555570889326822
750 0.00345352019915982 4806.88811910929 0.00555609665739778
760 0.00345141540298752 4802.95515666953 0.00555648351996552
770 0.00344931973022858 4799.03873290273 0.00555686947846638
780 0.00344723307973995 4795.13869774549 0.00555725453081832
790 0.00344515535355477 4791.25490517858 0.0055576386751416
800 0.00344308645552115 4787.38721094917 0.00555802190990669
810 0.0034410262916704 4783.53547326783 0.00555840423386285
820 0.00343897477012363 4779.69955274287 0.00555878564601301
830 0.0034369318008265 4775.87931193957 0.00555916614564144
840 0.00343489729601939 4772.07461632396 0.00555954573220086
850 0.00343287116934478 4768.28533267216 0.00555992440544798
860 0.00343085333622589 4764.51132988436 0.00556030216533166
870 0.0034288437142995 4760.75247974731 0.00556067901192961
880 0.00342684222237098 4757.00865512087 0.00556105494558881
890 0.00342484878054546 4753.27973027588 0.005561429966865
900 0.00342286331144601 4749.56558303742 0.00556180407634575
910 0.00342088573775836 4745.86609050152 0.00556217727499162
920 0.00341891598487359 4742.18113378699 0.00556254956371262
930 0.00341695397900007 4738.51059466352 0.00556292094366119
940 0.00341499964828449 4734.8543576161 0.00556329141603265
950 0.00341305292153503 4731.21230760126 0.00556366098224986
960 0.00341111372882706 4727.58433117455 0.00556402964385043
970 0.0034091820018395 4723.97031709733 0.00556439740243105
980 0.00340725767321159 4720.37015521571 0.00556476425973694
990 0.00340534067734116 4716.78373794462 0.00556513021751285
1000 0.00340343094890861 4713.21095759564 0.00556549527774907
1010 0.00340152842374159 4709.6517080623 0.00556585944248974
1020 0.00339963303935385 4706.10588570745 0.0055662227137764
1030 0.00339774473402357 4702.57338773464 0.00556658509378613
1040 0.00339586344674274 4699.05411217483 0.00556694658480897
1050 0.00339398911768683 4695.54795874247 0.00556730718916623
1060 0.0033921216884136 4692.05482915835 0.00556766690919075
1070 0.00339026110103477 4688.57462572334 0.00556802574733712
1080 0.00338840729848235 4685.10725182335 0.00556838370612742
1090 0.00338656022478574 4681.65261242183 0.00556874078810741
1100 0.00338471982460939 4678.21061327373 0.00556909699590415
1110 0.00338287758373854 4674.78115658241 0.00556944769147455
1120 0.00338105037017159 4671.36415534034 0.00556980215917816
1130 0.00337922966954384 4667.95951928906 0.00557015576079986
1140 0.00337741543005307 4664.56715918419 0.00557050849910356
1150 0.00337560760091305 4661.18698731925 0.00557086037684433
1160 0.00337380613104004 4657.8189151412 0.00557121139699525
1170 0.00337201097036558 4654.46285572426 0.00557156156248412
1180 0.00337022207012409 4651.11872417581 0.00557191087618896
1190 0.00336843938233192 4647.78643673974 0.00557225934100793
1200 0.00336666285898098 4644.46590940195 0.0055726069599716
1210 0.00336489245342704 4641.15706036711 0.00557295373601833
1220 0.00336312811927507 4637.85980805604 0.00557329967217943
1230 0.00336136981102819 4634.57407230112 0.00557364477145866
