#time mL_Fe mL_w mL_m mL_h
101 1.34208202206916e-05 2.86299911549221e-05 0.000154311391318106 0.00342398214425548
102 1.33691051937497e-05 3.2155116248641e-05 0.000155128809630849 0.00341929275931275
103 1.33226095571929e-05 3.56870158267288e-05 0.00015593146614386 0.00341460365500022
104 1.32301320666388e-05 3.91062006588465e-05 0.000156732010305498 0.00341010774430421
105 1.31125373755325e-05 4.24272106205236e-05 0.000157529300155297 0.00340576021856839
106 1.29876964165864e-05 4.56680173266295e-05 0.000158320885463804 0.00340151808899132
107 1.2864130780771e-05 4.88430760596574e-05 0.0001591046998636 0.00339735524470791
108 1.27449786948735e-05 5.19636773373499e-05 0.000159879128158043 0.00339325632210296
109 1.2631082214498e-05 5.50385544645702e-05 0.000160642967075758 0.0033892116563095
110 1.2522448071702e-05 5.8074439780413e-05 0.000161395353561727 0.00338521464856879
111 1.24188303651895e-05 6.10765518272928e-05 0.000162135690440286 0.00338126046862051
112 1.23199320798373e-05 6.40489675000805e-05 0.000162863585926951 0.00337734541557013
113 1.2225475123316e-05 6.69949017184297e-05 0.000163578805579905 0.00337346655664831
114 1.21351934067848e-05 6.99169200836022e-05 0.000164281230143522 0.00336962154437993
115 1.20488479156371e-05 7.28170825927664e-05 0.000164970829715344 0.00336580846204498
116 1.19662319971426e-05 7.56970524903445e-05 0.000165647645224787 0.00336202571430748
117 1.18871681202268e-05 7.85581834372015e-05 0.000166311771314271 0.00335827195268281
118 1.18115039825517e-05 8.14015848772399e-05 0.000166963343494443 0.00335454602174674
119 1.173910882278e-05 8.42281718620623e-05 0.000167602528391728 0.00335084691912458
120 1.16698705250797e-05 8.70387011252803e-05 0.000168229517033231 0.0033471737664868
121 1.1603691724606e-05 8.98338070946909e-05 0.000168844517059116 0.00334352578315164
122 1.15404875027514e-05 9.26140249423715e-05 0.000169447748292363 0.00333990226834686
123 1.14801829351737e-05 9.53798114612646e-05 0.000170039438354422 0.00333630258604996
124 1.14227116913657e-05 9.81315579862692e-05 0.000170619820430904 0.00333272615494208
125 1.13680142304079e-05 0.000100869604551203 0.000171189130200835 0.00332917243843106
126 1.13160366091285e-05 0.000103594249508459 0.000171747603970802 0.00332564093759494
127 1.12667293852061e-05 0.000106305758098108 0.000172295476901172 0.00332213118506205
128 1.1220046862249e-05 0.000109004368354251 0.000172832981949793 0.00331864274061903
129 1.11759467895601e-05 0.000111690293890081 0.000173360349783395 0.00331517518863665
130 1.11343895093714e-05 0.00011436372986284 0.000173877807398591 0.00331172813408647
131 1.10953371239039e-05 0.000117024858682799 0.000174385576677306 0.00330830119888152
132 1.10587537799943e-05 0.000119673848749782 0.000174883875447067 0.0033048940217766
133 1.10246052771221e-05 0.000122310857385965 0.000175372916922716 0.00330150625624694
134 1.09928587301071e-05 0.000124936033134049 0.00017585290930706 0.00329813756882946
135 1.09634822115715e-05 0.00012754951828858 0.000176324055234601 0.00329478763739629
136 1.09364446429625e-05 0.000130151449628517 0.000176786551860877 0.00329145615040403
137 1.09117161280758e-05 0.000132741956865782 0.000177240591832708 0.00328814280713729
138 1.08892675831332e-05 0.000135321164780965 0.00017768636277986 0.00328484731639
139 1.08690703806057e-05 0.000137889195692589 0.000178124046616553 0.00328156939495303
140 1.08510968057196e-05 0.000140446166818572 0.000178553820886052 0.00327830876850281
141 1.08353194933067e-05 0.000142992193697123 0.000178975857627746 0.00327506516977672
142 1.08217116947971e-05 0.000145527388651076 0.000179390324244927 0.00327183833900028
143 1.08102469805436e-05 0.000148051862693942 0.000179797382938282 0.00326862802278054
144 1.08008996973427e-05 0.000150565722805351 0.000180197192064643 0.00326543397507416
145 1.07936445994859e-05 0.000153069074092325 0.000180589905438776 0.00326225595603533
146 1.07884570005793e-05 0.000155562019082887 0.000180975672825651 0.00325909373207447
147 1.07853127064908e-05 0.000158044657911757 0.000181354640053322 0.00325594707563097
148 1.07841877929445e-05 0.00016051709009827 0.000181726948410078 0.00325281576413892
149 1.07850586341793e-05 0.000162979414065802 0.000182092735014018 0.00324969958013789
150 1.0787902375348e-05 0.000165431724266675 0.000182452134243545 0.00324659831231286
151 1.07926962962001e-05 0.000167874115258478 0.000182805276088224 0.00324351175357986
152 1.07994183266425e-05 0.000170306678468983 0.000183152287732864 0.00324043970230538
153 1.08080464173426e-05 0.000172729505983875 0.000183493291997918 0.0032373819606102
154 1.08185590637187e-05 0.000175142687363076 0.000183828408902685 0.0032343383355412
155 1.08309351759279e-05 0.000177546310343151 0.000184157755484142 0.00323130863866409
156 1.08451540313743e-05 0.000179940461408701 0.000184481445652957 0.00322829268564517
157 1.08611951256602e-05 0.000182325226425992 0.000184799590020047 0.00322529029593979
158 1.0879038340713e-05 0.000184700689676283 0.000185112296453828 0.00322230129304967
159 1.08986640147895e-05 0.000187066933431874 0.000185419670391012 0.00321932550457252
160 1.0920052524587e-05 0.000189424040450873 0.000185721813767131 0.00321636276113332
161 1.0943184842552e-05 0.000191772090696934 0.000186018826659636 0.00321341289753322
162 1.09680420848628e-05 0.000194111164661798 0.000186310805793078 0.00321047575124971
163 1.09946057383724e-05 0.000196441340077558 0.000186597846247324 0.00320755116399879
