#time mass rho rad_par
110 0.00361684231015121 5104.97271745749 0.00553030622653696
120 0.00361404545533739 5100.25203350829 0.00553058563385025
130 0.00361159987256649 5096.02801064309 0.00553086516501042
140 0.00360942575852987 5092.20382389043 0.00553113903177258
150 0.00360748053497374 5088.73343798297 0.0055314020766246
160 0.00360573088958854 5085.57657368442 0.00553165179466548
170 0.00360414881662283 5082.69574762776 0.00553188738883178
180 0.00360271059219163 5080.05690726994 0.00553210901825456
190 0.00360139621965744 5077.62992990177 0.00553231733356229
200 0.00360018892679695 5075.38865402618 0.00553251320707604
210 0.00359907466641095 5073.31058315886 0.00553269758325953
220 0.00359804166251172 5071.37646297904 0.00553287139849104
230 0.00359708001823415 5069.56983733622 0.00553303554028436
240 0.00359618138070164 5067.87662143697 0.00553319082964724
250 0.00359533867045814 5066.284735258 0.0055333380148283
260 0.00359454585496843 5064.7837790008 0.00553347777253701
270 0.00359379776649679 5063.3647633579 0.00553361071212283
280 0.00359308995425 5062.01988431977 0.00553373738123636
290 0.00359241856642689 5060.7423401252 0.00553385827158518
300 0.00359178025022043 5059.52617209368 0.00553397382528182
310 0.00359117207398118 5058.36613976013 0.00553408444013148
320 0.00359059146141229 5057.25761342656 0.00553419047479907
330 0.00359003613859548 5056.19648693083 0.00553429225323494
340 0.00358950409096487 5055.17910625352 0.00553439006846679
350 0.00358899352539829 5054.20220560516 0.00553448418631824
360 0.00358850284008563 5053.26285649464 0.00553457484840891
370 0.00358803059890435 5052.35842403918 0.00553466227484535
380 0.00358757551020642 5051.48653061573 0.00553474666651418
390 0.00358713640838419 5050.64502400661 0.00553482820717462
400 0.00358671223805263 5049.83194988697 0.00553490706532076
410 0.0035863020420146 5049.04553100803 0.0055349833955516
420 0.00358590494835171 5048.28414433131 0.00553505734024681
430 0.00358552016119808 5047.54630485145 0.00553512903069882
440 0.0035851469525543 5046.83065115057 0.00553519858815219
450 0.00358478465531552 5046.13593306478 0.00553526612469943
