#time mL_Fe mL_w mL_m mL_h
110 0.000654774121875355 0.0028965140664274 0.00805513790839447 0.169229111916391
120 0.000644677575103339 0.00429544844365786 0.00839087515776703 0.1673410438862
130 0.000646458833834848 0.00559802302662961 0.0086656727207069 0.165606128827856
140 0.000656780825790292 0.00682808543027163 0.00889072332511308 0.163991055287846
150 0.000673899760508042 0.00799545964149882 0.00907669639531197 0.162476360423707
160 0.00069637456655236 0.00910838346592468 0.00923131882894383 0.161046955592607
170 0.000723042013104 0.010173777999469 0.00936033746881152 0.159690866713976
180 0.000753028917522718 0.0111970666151278 0.00946819992263622 0.158398713640905
190 0.000785669870736469 0.0121825821753165 0.00955830248647887 0.157163118744766
200 0.000820438022631223 0.0131339572509323 0.00963322148818192 0.155978132865793
210 0.000856921723797207 0.0140542799895564 0.00969500883601251 0.154838789723753
220 0.000894818762843833 0.014946139997418 0.00974542400025519 0.153740823168592
230 0.000933922663672101 0.0158116911819287 0.00978603597278042 0.1526805114489
240 0.000974097496809649 0.016652754372336 0.00981823358512177 0.151654588502816
250 0.00101525137330064 0.0174709233404874 0.00984320969708092 0.150660180386168
260 0.00105731649716571 0.0182676391184608 0.00986196063422199 0.149694751781125
270 0.00110023778133922 0.0190442246965183 0.00987530878174633 0.148756060336226
280 0.00114396759081385 0.0198018962375593 0.00988393537171631 0.147842117798969
290 0.00118846414943447 0.0205417629863071 0.00988841411005014 0.146951157605683
300 0.0012336909132621 0.0212648283484178 0.00988923770809356 0.146081607129847
310 0.0012796157111526 0.021971999689409 0.00988683461187729 0.145232060713453
320 0.00132620976417068 0.0226641032868542 0.00988158226947333 0.144401250726022
330 0.00137344625103287 0.0233418773139018 0.00987381078289304 0.14358805363536
340 0.00142129976621661 0.0240059906849973 0.00986381194344655 0.142791460490498
350 0.00146974611922152 0.02465705945593 0.00985184441481432 0.142010553620274
360 0.00151876187725353 0.025295652838478 0.00983813659710256 0.141244497639765
370 0.00156832451445404 0.0259222960045162 0.0098228913933111 0.140492531189398
380 0.00161841224981824 0.0265374752873163 0.00980628914399885 0.139753958350137
390 0.00166900368038327 0.0271416443590795 0.00978848913364865 0.139028140744088
400 0.00172007757440895 0.027735228818845 0.00976963139430441 0.138314490865449
410 0.0017716128235723 0.0283186295189811 0.00974983863653798 0.137612466454265
420 0.00182358866268446 0.0288922239712546 0.00972921898629794 0.136921565788225
430 0.00187598480119642 0.0294563679169708 0.00970786809275067 0.136241323568995
440 0.00192878157891012 0.0300113965359857 0.00968587108743599 0.13557130732909
450 0.00198196005201341 0.0305576256818621 0.00966330413531369 0.134911114331537
460 0.00203550188054065 0.0310953540853028 0.00964023505974863 0.134260368635398
470 0.00208938937120487 0.0316248644413974 0.00961672447767779 0.133618718651826
480 0.00214360547344886 0.0321464246022006 0.00959282663387743 0.132985834961241
490 0.00219813376232666 0.0326602887201188 0.00956859005808715 0.132361408387265
500 0.00225295849007565 0.0331666978565246 0.00954405847366034 0.131745148306558
510 0.00230806450959106 0.0336658812457896 0.00951927109558697 0.131136781045115
520 0.0023634372436344 0.0341580571854559 0.00949426306448935 0.130536048484011
530 0.00241906270017501 0.0346434335619109 0.0094690660213863 0.129942706858624
540 0.00247492745089915 0.0351222085579971 0.00944370845289916 0.129356525645826
550 0.00253101860295525 0.035594571292773 0.00941821600443574 0.128777286569376
560 0.00258732380128397 0.0360607022920488 0.00939261185725719 0.128204782683554
570 0.002643831186549 0.0365207741402364 0.00936691687217065 0.127638817560224
580 0.00270052938121633 0.0369749518915085 0.0093411498906503 0.127079204540261
590 0.00275740748455167 0.037423393455556 0.00931532796966355 0.126525766069055
600 0.00281445506248601 0.0378662499486742 0.00928946663534874 0.125978333058372
610 0.00287166211097393 0.0383036661996502 0.00926357992732922 0.125436744330683
620 0.00292901907854779 0.0387357808461383 0.0092376807691627 0.124900846096553
630 0.0029865167894183 0.0391627269958373 0.00921178080425313 0.124370491499551
640 0.00304414645146814 0.039584632417163 0.00918589062181151 0.123845540159144
650 0.00310189963015501 0.0400016198772004 0.0091600198100908 0.123325857777347
660 0.00315976823651483 0.0404138073854588 0.00913417707013219 0.12281131576731
