#time a1 a2 a3 b1 b2 b3 mt1 fr1 fr2 fr3
200 21.2510791160378 68.3883974696873 37.0466488343659 0.471003619397768 25.8411622293997 93.8946492684782 19.4502054098486 0.00478416826213002 0.0921389598785617 0.146022202702438
300 20.9934782490723 70.6082999364606 38.1102210902606 0.951903677617031 44.0873441597223 104.762008940525 19.3860611542264 0.00965278035018868 0.151916802726656 0.206702018748213
400 20.8874415461898 72.8849491021764 39.2272340689112 1.70091045999469 59.8540264798382 111.64545301302 19.3478383978752 0.0171750681514491 0.20198357254806 0.255757289490819
500 20.852666719406 75.1573591254244 40.3546566082399 2.60040677634279 74.145420230636 116.984950270513 19.3211321089173 0.0261116720531308 0.245578190897947 0.297814361174138
600 20.8593119313228 77.4223918379535 41.4871618926048 3.59382118430687 87.4738342350411 121.614987766455 19.3009002131419 0.0358576052666338 0.28443140949936 0.335002463316848
700 20.8931950551183 79.6872905855854 42.6268242010494 4.64952933677315 100.142120425845 125.892542952784 19.2848601354709 0.0460729320844744 0.319602971606146 0.368517159000421
800 20.9464470524997 81.9604746541402 43.7770117390175 5.74823181257757 112.346585927447 129.992975580695 19.2717855864679 0.0565507411769586 0.351800320853156 0.399114175589593
900 21.0142141601879 84.2496063271452 44.9409897372709 6.87745431975676 124.223035900435 134.01122135941 19.2609361712907 0.0671585768172492 0.381525118229477 0.427310452683379
1000 21.0932259824023 86.5611673858339 46.1215254139893 8.02880631317577 135.870076599516 138.003146888963 19.2518136329927 0.0778088276107578 0.409149202448676 0.453480061359254
1100 21.1813238170939 88.901288744767 47.3214728479474 9.19648770049173 147.362337770215 142.00413101948 19.2440921280994 0.0884422959824204 0.434957815864678 0.477905259329828
1200 21.2769268292316 91.2753366674455 48.5433432649351 10.3763923100582 158.758017560615 146.037979998709 19.2375167694601 0.0990184725595326 0.459175824780024 0.500806045779512
1300 21.3788413681976 93.6881029960455 49.7893979177078 11.5656023971809 170.104171246537 150.122258612267 19.2319216625166 0.10950955850253 0.481984331966045 0.522358235861929
1400 21.4862264379184 96.1443002587442 51.0619966504085 12.7620001181247 181.439389161007 154.270349778547 19.2271602134406 0.119896566802758 0.503531991156592 0.542705362212856
1500 21.5981195512697 98.6471362585501 52.3623810611417 13.9640296516502 192.796065962538 158.492880850718 19.2230757101142 0.130166668983231 0.523942713746609 0.561966569240407
1600 21.714241538019 101.201742368859 53.6934625859492 15.1705957344431 204.20265393397 162.799424354789 19.2196181488615 0.140311459030163 0.543321135569447 0.580242197311499
1700 21.8341095397529 103.811936382688 55.0571414816763 16.3808949940656 215.68389335469 167.198534023045 19.216705439984 0.15032573146137 0.561756590562834 0.597617790966516
1800 21.9571449074659 106.480724448246 56.4546905054383 17.5943382892048 227.261756955738 171.697822313992 19.2142358761135 0.160206593753476 0.57932616378867 0.614167024249346
1900 22.0832213735803 109.212703438537 57.8887152684614 18.8105466943194 238.956714681114 176.304974893346 19.2121820119696 0.169952846668517 0.596096922365148 0.629953945274069
2000 22.2121733850766 112.012160239892 59.3615848933539 20.0292705472925 250.787643984542 181.027667018667 19.2105086476261 0.179564534085449 0.612127645409338 0.645034688940358
2100 22.3436792882616 114.882601102968 60.8750261851703 21.2503420879613 262.772068272626 185.873230594486 19.2091566490382 0.18904259694692 0.627470243716683 0.659458782654283
2200 22.4776572597429 117.828532991679 62.4315823168277 22.4736785483096 274.926731833174 190.84935303749 19.2080888010331 0.198388647796669 0.642170832363975 0.67327024664165
2300 22.6139880399023 120.854321408761 64.0336583559802 23.6993036841582 287.268391933328 195.963999808174 19.2073072334491 0.207604732451086 0.656270587301529 0.686508333116913
2400 22.7524495021905 123.963902639451 65.6832856488508 24.9272214804559 299.812562994081 201.224975818967 19.206753792553 0.216693242899138 0.669806482512405 0.699208314646123
2500 22.8929914304095 127.162100159525 67.3831876800446 26.1575095063618 312.575001897625 206.640616040718 19.2064106214057 0.225656792416753 0.682811875425926 0.711402000438189
2600 23.0354945642352 130.453548388233 69.1358913603781 27.3902636998103 325.57127121904 212.219476488644 19.2062519948571 0.234498137350217 0.695316984190951 0.723118200791479
2700 23.1799614129265 133.843642844321 70.9445055150623 28.6256190005873 338.817150454794 217.970825964035 19.2062697516624 0.243220123487475 0.707349270168218 0.73438312241355
2800 23.3263213638073 137.337637643652 72.8119679783716 29.8637172079338 352.328460146034 223.90426526721 19.206445592148 0.25182563578562 0.718933795357719 0.745220677470361
2900 23.4745628853906 140.941328166936 74.7416016411034 31.1047222894372 366.121377830822 230.030044239212 19.2067686736661 0.26031756717237 0.730093499413081 0.75565276230482
3000 23.6247632481789 144.661272631173 76.7372879039579 32.3488236218701 380.212618513867 236.359105172527 19.2072438897569 0.268698791823652 0.740849447444525 0.765699485967424
3100 23.7766779518641 148.502643015824 78.8016966494845 33.5961666007817 394.618735958848 242.902692896399 19.2078253706743 0.276972146938833 0.751221035184967 0.775379369712883
3200 23.9302812438782 152.472095765365 80.9386238587628 34.846908037639 409.356943844574 249.672595174116 19.208487183546 0.285140423755347 0.761226203739674 0.784709525957396
3300 24.0856697737519 156.577355982134 83.1526573815107 36.1013143961433 424.446309140477 256.68219836535 19.2092670454616 0.293206330940798 0.770881520790286 0.793705767696304
3400 24.2429034697026 160.826426859194 85.4485149845775 37.359568074787 439.905599578649 263.94521425426 19.2101511438071 0.301172521910397 0.780202368282659 0.802382787639578
3500 24.4017454065651 165.226084683553 87.8297925230624 38.6218273016796 455.754116098556 271.476011585057 19.2110967836385 0.309041575181443 0.789203053025349 0.810754245141332
3600 24.5624897340395 169.786712820043 90.3029380462892 39.8883516561593 472.013230559626 279.290913877222 19.212141281217 0.316815997609904 0.7978968927133 0.818832874561968
3700 24.7248668016426 174.515980235507 92.8720258049541 41.1592951977093 488.70413922885 287.406325035384 19.2132386198597 0.324498213169018 0.806296333258104 0.826630555115756
3800 24.8889741874652 179.424361388538 95.5433010615716 42.434883541562 505.849986298147 295.8406275271 19.2143940924716 0.332090572268209 0.814413001975988 0.834158404013591
3900 25.0548083966667 184.522452982538 98.3229455340115 43.7153235900483 523.474989494419 304.613233148291 19.2156026489917 0.339595344449118 0.822257799298416 0.841426831110356
4000 25.2222760076036 189.821044308132 101.217127305287 45.0008039390714 541.604532062668 313.744983294226 19.2168432914261 0.347014723820627 0.829840949364717 0.848445606309505
4100 25.3916026826383 195.333863270231 104.234253086334 46.291581974029 560.266338694282 323.259002148283 19.2181425790828 0.354350831804157 0.837172053775093 0.85522391475868
4200 25.5628394761453 201.074533256359 107.38243804178 47.5878433938534 579.488957657901 333.179841627361 19.2194866766606 0.3616057286038 0.844260155930421 0.861770412653349
4300 25.7358767747138 207.056622272486 110.669529313 48.8898535174296 599.303727692924 343.534646966983 19.2208815634155 0.368781383957521 0.851113751822119 0.868093233809335
4400 25.9108530407077 213.296575090022 114.105499906742 50.197818615358 619.743316899007 354.352451759606 19.2223272036713 0.375879709640882 0.857740868164405 0.874200064492344
4500 26.0876180114068 219.810116113251 117.699436251976 51.511917500254 640.842349661735 365.664185862136 19.2237941309263 0.382902545521396 0.864149099131232 0.880098158626312
4600 26.2663944020237 226.617077978377 121.46354013419 52.8324178815686 662.638938129267 377.504708694366 19.2253071514401 0.389851674113226 0.870345611278767 0.885794386460137
4700 26.4470213067599 233.736102575916 125.408682230219 54.1594977340546 685.172825441098 389.911079490485 19.2268387324273 0.396728813328766 0.876337195971683 0.89129524763399
4800 26.6295299099583 241.189001736379 129.547983446089 55.4933805836294 708.487327933388 402.924012551871 19.2283852537165 0.403535620134018 0.882130292186174 0.896606901268423
4900 26.8140893550493 249.000693522821 133.89673891185 56.8343268613696 732.629517144287 416.588510447762 19.2299644054894 0.410273696341952 0.887731003851226 0.901735193260874
5000 27.000562992643 257.195909799101 138.469633467606 58.1825223683268 757.649150296036 430.953422817632 19.2315510068708 0.416944589987514 0.893145124693877 0.906685675199675
5100 27.1891778788641 265.804840534538 143.285380642706 59.5382469119533 783.601259422946 446.073055562884 19.2331683816693 0.423549795616846 0.898378162488848 0.911463622136458
5200 27.3798911643125 274.858306293882 148.362667051797 60.9016657180185 810.543826341715 462.006803122586 19.2347904444116 0.43009077115255 0.903435355308406 0.916074063881823
5300 27.5726715754094 284.390324316774 153.722200803016 62.2730950233141 838.541826614396 478.820940289663 19.2364351139918 0.436568904711723 0.908321678516961 0.920521766538298
5400 27.7676680547968 294.440094920338 159.388315851301 63.6527538778651 867.664512971366 496.58832374298 19.2381007243073 0.442985549775506 0.913041875069871 0.924811280985369
5500 27.9647964049737 305.048786459284 165.386191180911 65.0408505671732 897.987204305233 515.389635110013 19.239768290287 0.449342015492936 0.917600466214318 0.928946943853232
5600 28.1641659681228 316.263937738314 171.745444039611 66.4376490228992 929.592934329998 535.315149837299 19.241446652038 0.455639569489648 0.922001762552155 0.932932891407659
5700 28.3656919865654 328.136473958912 178.497515896793 67.8433618671202 962.571849936788 556.465150186405 19.2431173825583 0.461879439350117 0.926249876710423 0.936773070357778
5800 28.5696029239988 340.726426281976 185.680355225136 69.2582941033929 997.024210137479 578.952711448723 19.244802922356 0.468062814907051 0.930348733530223 0.940471249212311
5900 28.7758859788506 354.098356235002 193.334454504336 70.682687477734 1033.05926273129 602.904872864284 19.2464951862879 0.474190854334127 0.934302073193196 0.944031030860775
6000 28.9846442943248 368.326012967156 201.506543003954 72.1168204403418 1070.79816855358 628.464364305379 19.2481992966028 0.480264677069628 0.938113475661859 0.9474558530204
