#time mass rho rad_par
110 0.00361732581871928 5105.4585831516 0.00553037720501338
120 0.00361429378345052 5100.4774010874 0.00553063084293836
130 0.00361135244111028 5095.59270556782 0.0055308963436137
140 0.00360847809434618 5090.77634624689 0.00553117180996818
150 0.00360566103728996 5086.01892712318 0.00553145569934126
160 0.00360289470955162 5081.31470521621 0.00553174674949326
170 0.00360017403155893 5076.65939860491 0.00553204392257455
180 0.00359749487950685 5072.04956171305 0.00553234636380453
190 0.00359485382438549 5067.48232168785 0.00553265336416205
200 0.00359224796767665 5062.95523210759 0.00553296432983474
210 0.00358967482834058 5058.46618067478 0.00553327875821276
220 0.00358713225995059 5054.01332309165 0.00553359621972671
230 0.00358461838941522 5049.59503534335 0.00553391634399302
240 0.00358213157011311 5045.20987703706 0.00553423880928012
250 0.00357967034350575 5040.85656102143 0.00553456333400144
260 0.00357723340999034 5036.53393056288 0.00553488967017138
270 0.00357481960522664 5032.24094050118 0.00553521759820085
280 0.00357242788012431 5027.97664104438 0.00553554692259448
290 0.00357005728518994 5023.74016529182 0.00553587746851529
300 0.00356770695746922 5019.53071863701 0.00553620907898738
310 0.00356537610953635 5015.34756984977 0.00553654161252988
320 0.0035630640196242 5011.19004281159 0.00553687494113248
330 0.00356077002416427 5007.05751047486 0.00553720894865304
340 0.00355849351116138 5002.94938939105 0.00553754352943264
350 0.00355623391465044 4998.86513524808 0.00553787858709452
360 0.00355399070925072 4994.80423811295 0.00553821403349843
370 0.00355176340629724 4990.76621944602 0.00553854978785603
380 0.00354955154995026 4986.75062863466 0.00553888577600957
390 0.00354735471361467 4982.75703999749 0.00553922192969534
400 0.00354517249775675 4978.78505118345 0.00553955818601517
410 0.00354300452720981 4974.83428080258 0.00553989448692477
420 0.00354085044872128 4970.90436627162 0.00554023077876665
430 0.00353870992930108 4966.99496253167 0.00554056701189552
440 0.0035365826540987 4963.10574015005 0.00554090314028554
450 0.00353446832572765 4959.23638511914 0.00554123912126066
460 0.00353236666154506 4955.38659588777 0.00554157491518611
