#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)
               95	7.0056246884e-03	3.7157798062e-01	6.2141639470e-01
               96	7.0061051420e-03	3.7157760890e-01	6.2141628596e-01
               97	7.0065262868e-03	3.7157728305e-01	6.2141619066e-01
               98	7.0068907455e-03	3.7157700106e-01	6.2141610819e-01
               99	7.0072010724e-03	3.7157676095e-01	6.2141603798e-01
              100	7.0074597469e-03	3.7157656078e-01	6.2141597947e-01
              101	7.0076691796e-03	3.7157639871e-01	6.2141593211e-01
              102	7.0078317115e-03	3.7157627292e-01	6.2141589537e-01
              103	7.0079496039e-03	3.7157618167e-01	6.2141586873e-01
              104	7.0080250493e-03	3.7157612324e-01	6.2141585171e-01
              105	7.0080601699e-03	3.7157609601e-01	6.2141584382e-01
              106	7.0080570058e-03	3.7157609840e-01	6.2141584459e-01
              107	7.0080175375e-03	3.7157612887e-01	6.2141585359e-01
              108	7.0079436637e-03	3.7157618596e-01	6.2141587038e-01
              109	7.0078372156e-03	3.7157626824e-01	6.2141589454e-01
              110	7.0076999579e-03	3.7157637436e-01	6.2141592568e-01
              111	7.0075335787e-03	3.7157650301e-01	6.2141596342e-01
              112	7.0073397069e-03	3.7157665292e-01	6.2141600737e-01
              113	7.0071199005e-03	3.7157682289e-01	6.2141605720e-01
              114	7.0068756538e-03	3.7157701178e-01	6.2141611257e-01
              115	7.0066083935e-03	3.7157721846e-01	6.2141617314e-01
              116	7.0063194970e-03	3.7157744189e-01	6.2141623862e-01
              117	7.0060102735e-03	3.7157768103e-01	6.2141630869e-01
              118	7.0056819755e-03	3.7157793494e-01	6.2141638309e-01
              119	7.0053357941e-03	3.7157820268e-01	6.2141646153e-01
              120	7.0049728727e-03	3.7157848336e-01	6.2141654376e-01
              121	7.0045943048e-03	3.7157877616e-01	6.2141662954e-01
              122	7.0042011227e-03	3.7157908026e-01	6.2141671862e-01
              123	7.0037943162e-03	3.7157939489e-01	6.2141681079e-01
              124	7.0033748261e-03	3.7157971934e-01	6.2141690583e-01
              125	7.0029435392e-03	3.7158005292e-01	6.2141700354e-01
              126	7.0025013116e-03	3.7158039496e-01	6.2141710373e-01
              127	7.0020489466e-03	3.7158074484e-01	6.2141720621e-01
              128	7.0015872089e-03	3.7158110198e-01	6.2141731081e-01
              129	7.0011168260e-03	3.7158146580e-01	6.2141741737e-01
              130	7.0006384891e-03	3.7158183578e-01	6.2141752574e-01
              131	7.0001528445e-03	3.7158221140e-01	6.2141763575e-01
              132	6.9996605099e-03	3.7158259221e-01	6.2141774728e-01
              133	6.9991620732e-03	3.7158297774e-01	6.2141786019e-01
              134	6.9986580830e-03	3.7158336756e-01	6.2141797436e-01
              135	6.9981490605e-03	3.7158376127e-01	6.2141808967e-01
              136	6.9976355065e-03	3.7158415850e-01	6.2141820600e-01
              137	6.9971178820e-03	3.7158455887e-01	6.2141832325e-01
              138	6.9965966243e-03	3.7158496205e-01	6.2141844133e-01
              139	6.9960721489e-03	3.7158536772e-01	6.2141856013e-01
              140	6.9955448420e-03	3.7158577558e-01	6.2141867958e-01
              141	6.9950150735e-03	3.7158618535e-01	6.2141879958e-01
              142	6.9944831903e-03	3.7158659675e-01	6.2141892006e-01
              143	6.9939495125e-03	3.7158700954e-01	6.2141904094e-01
              144	6.9934143435e-03	3.7158742349e-01	6.2141916217e-01
              145	6.9928779651e-03	3.7158783837e-01	6.2141928366e-01
              146	6.9923406505e-03	3.7158825398e-01	6.2141940537e-01
              147	6.9918026535e-03	3.7158867011e-01	6.2141952723e-01
              148	6.9912642065e-03	3.7158908660e-01	6.2141964920e-01
              149	6.9907255276e-03	3.7158950326e-01	6.2141977121e-01
              150	6.9901868197e-03	3.7158991995e-01	6.2141989323e-01
              151	6.9896482815e-03	3.7159033650e-01	6.2142001522e-01
              152	6.9891100876e-03	3.7159075279e-01	6.2142013712e-01
              153	6.9885724083e-03	3.7159116868e-01	6.2142025891e-01
              154	6.9880353969e-03	3.7159158406e-01	6.2142038054e-01
              155	6.9874992000e-03	3.7159199880e-01	6.2142050200e-01
              156	6.9869639472e-03	3.7159241282e-01	6.2142062323e-01
              157	6.9864297670e-03	3.7159282601e-01	6.2142074423e-01
              158	6.9858967696e-03	3.7159323828e-01	6.2142086495e-01
              159	6.9853650691e-03	3.7159364955e-01	6.2142098538e-01
              160	6.9848347602e-03	3.7159405974e-01	6.2142110550e-01
              161	6.9843059383e-03	3.7159446878e-01	6.2142122528e-01
              162	6.9837786777e-03	3.7159487662e-01	6.2142134471e-01
              163	6.9832530602e-03	3.7159528318e-01	6.2142146376e-01
              164	6.9827291541e-03	3.7159568842e-01	6.2142158242e-01
              165	6.9822070278e-03	3.7159609229e-01	6.2142170069e-01
              166	6.9816867383e-03	3.7159649473e-01	6.2142181853e-01
              167	6.9811683404e-03	3.7159689571e-01	6.2142193595e-01
              168	6.9806518789e-03	3.7159729519e-01	6.2142205293e-01
              169	6.9801374025e-03	3.7159769314e-01	6.2142216946e-01
              170	6.9796249467e-03	3.7159808953e-01	6.2142228553e-01
              171	6.9791145483e-03	3.7159848432e-01	6.2142240113e-01
              172	6.9786062391e-03	3.7159887750e-01	6.2142251626e-01
              173	6.9781000461e-03	3.7159926904e-01	6.2142263092e-01
              174	6.9775959925e-03	3.7159965892e-01	6.2142274508e-01
              175	6.9770941032e-03	3.7160004714e-01	6.2142285876e-01
              176	6.9765943955e-03	3.7160043366e-01	6.2142297194e-01
              177	6.9760968847e-03	3.7160081849e-01	6.2142308463e-01
              178	6.9756015816e-03	3.7160120160e-01	6.2142319681e-01
              179	6.9751085003e-03	3.7160158300e-01	6.2142330850e-01
              180	6.9746176485e-03	3.7160196268e-01	6.2142341967e-01
              181	6.9741290301e-03	3.7160234063e-01	6.2142353034e-01
              182	6.9736426527e-03	3.7160271684e-01	6.2142364051e-01
              183	6.9731585163e-03	3.7160309132e-01	6.2142375016e-01
              184	6.9726766194e-03	3.7160346407e-01	6.2142385931e-01
              185	6.9721969659e-03	3.7160383508e-01	6.2142396795e-01
              186	6.9717195516e-03	3.7160420436e-01	6.2142407608e-01
              187	6.9712443706e-03	3.7160457192e-01	6.2142418371e-01
              188	6.9707714239e-03	3.7160493774e-01	6.2142429083e-01
              189	6.9703007044e-03	3.7160530185e-01	6.2142439745e-01
              190	6.9698322019e-03	3.7160566424e-01	6.2142450356e-01
              191	6.9693659155e-03	3.7160602491e-01	6.2142460917e-01
              192	6.9689018312e-03	3.7160638388e-01	6.2142471429e-01
              193	6.9684399332e-03	3.7160674116e-01	6.2142481891e-01
              194	6.9679802221e-03	3.7160709675e-01	6.2142492303e-01
              195	6.9675226859e-03	3.7160745066e-01	6.2142502666e-01
              196	6.9670673077e-03	3.7160780289e-01	6.2142512980e-01
              197	6.9666140767e-03	3.7160815347e-01	6.2142523246e-01
              198	6.9661629826e-03	3.7160850239e-01	6.2142533463e-01
              199	6.9657140138e-03	3.7160884967e-01	6.2142543632e-01
              200	6.9652671544e-03	3.7160919532e-01	6.2142553753e-01
              201	6.9648223902e-03	3.7160953934e-01	6.2142563827e-01
              202	6.9643797073e-03	3.7160988176e-01	6.2142573853e-01
              203	6.9639390937e-03	3.7161022258e-01	6.2142583833e-01
              204	6.9635005304e-03	3.7161056181e-01	6.2142593766e-01
              205	6.9630640027e-03	3.7161089946e-01	6.2142603653e-01
              206	6.9626295004e-03	3.7161123555e-01	6.2142613495e-01
              207	6.9621970046e-03	3.7161157009e-01	6.2142623290e-01
              208	6.9617664970e-03	3.7161190309e-01	6.2142633041e-01
              209	6.9613379691e-03	3.7161223456e-01	6.2142642747e-01
              210	6.9609114001e-03	3.7161256451e-01	6.2142652409e-01
              211	6.9604867755e-03	3.7161289296e-01	6.2142662026e-01
              212	6.9600640782e-03	3.7161321992e-01	6.2142671600e-01
              213	6.9596433031e-03	3.7161354539e-01	6.2142681131e-01
              214	6.9592244268e-03	3.7161386939e-01	6.2142690618e-01
              215	6.9588074289e-03	3.7161419194e-01	6.2142700063e-01
              216	6.9583922935e-03	3.7161451305e-01	6.2142709465e-01
              217	6.9579790099e-03	3.7161483273e-01	6.2142718826e-01
              218	6.9575675596e-03	3.7161515099e-01	6.2142728145e-01
              219	6.9571579274e-03	3.7161546784e-01	6.2142737423e-01
              220	6.9567500987e-03	3.7161578330e-01	6.2142746660e-01
              221	6.9563440593e-03	3.7161609737e-01	6.2142755857e-01
              222	6.9559397910e-03	3.7161641007e-01	6.2142765013e-01
              223	6.9555372810e-03	3.7161672142e-01	6.2142774130e-01
              224	6.9551365134e-03	3.7161703141e-01	6.2142783207e-01
              225	6.9547374714e-03	3.7161734007e-01	6.2142792245e-01
              226	6.9543401368e-03	3.7161764741e-01	6.2142801245e-01
              227	6.9539444980e-03	3.7161795344e-01	6.2142810206e-01
              228	6.9535505400e-03	3.7161825817e-01	6.2142819129e-01
              229	6.9531582498e-03	3.7161856161e-01	6.2142828014e-01
              230	6.9527676103e-03	3.7161886377e-01	6.2142836862e-01
              231	6.9523786059e-03	3.7161916467e-01	6.2142845673e-01
              232	6.9519912247e-03	3.7161946431e-01	6.2142854447e-01
              233	6.9516054527e-03	3.7161976271e-01	6.2142863184e-01
              234	6.9512212755e-03	3.7162005987e-01	6.2142871886e-01
              235	6.9508386773e-03	3.7162035581e-01	6.2142880551e-01
              236	6.9504576453e-03	3.7162065054e-01	6.2142889181e-01
              237	6.9500781683e-03	3.7162094407e-01	6.2142897776e-01
              238	6.9497002319e-03	3.7162123640e-01	6.2142906337e-01
              239	6.9493238161e-03	3.7162152756e-01	6.2142914862e-01
              240	6.9489489102e-03	3.7162181755e-01	6.2142923354e-01
              241	6.9485755085e-03	3.7162210638e-01	6.2142931811e-01
              242	6.9482035896e-03	3.7162239406e-01	6.2142940235e-01
              243	6.9478331436e-03	3.7162268060e-01	6.2142948625e-01
              244	6.9474641551e-03	3.7162296602e-01	6.2142956983e-01
              245	6.9470966142e-03	3.7162325031e-01	6.2142965307e-01
              246	6.9467305068e-03	3.7162353350e-01	6.2142973599e-01
              247	6.9463658212e-03	3.7162381559e-01	6.2142981859e-01
              248	6.9460025454e-03	3.7162409658e-01	6.2142990087e-01
              249	6.9456406666e-03	3.7162437650e-01	6.2142998284e-01
              250	6.9452801731e-03	3.7162465534e-01	6.2143006449e-01
              251	6.9449210532e-03	3.7162493312e-01	6.2143014583e-01
              252	6.9445632949e-03	3.7162520985e-01	6.2143022686e-01
              253	6.9442068869e-03	3.7162548553e-01	6.2143030758e-01
              254	6.9438518197e-03	3.7162576018e-01	6.2143038800e-01
              255	6.9434980807e-03	3.7162603380e-01	6.2143046812e-01
              256	6.9431456550e-03	3.7162630640e-01	6.2143054795e-01
              257	6.9427945343e-03	3.7162657799e-01	6.2143062747e-01
              258	6.9424447110e-03	3.7162684858e-01	6.2143070671e-01
              259	6.9420961690e-03	3.7162711818e-01	6.2143078565e-01
              260	6.9417489022e-03	3.7162738679e-01	6.2143086430e-01
              261	6.9414028984e-03	3.7162765443e-01	6.2143094267e-01
              262	6.9410581435e-03	3.7162792110e-01	6.2143102076e-01
              263	6.9407146328e-03	3.7162818681e-01	6.2143109856e-01
              264	6.9403723534e-03	3.7162845156e-01	6.2143117608e-01
              265	6.9400312914e-03	3.7162871538e-01	6.2143125333e-01
              266	6.9396914404e-03	3.7162897825e-01	6.2143133031e-01
              267	6.9393527881e-03	3.7162924020e-01	6.2143140701e-01
              268	6.9390153282e-03	3.7162950123e-01	6.2143148344e-01
              269	6.9386790538e-03	3.7162976134e-01	6.2143155961e-01
              270	6.9383439507e-03	3.7163002054e-01	6.2143163551e-01
              271	6.9380100098e-03	3.7163027885e-01	6.2143171114e-01
              272	6.9376772228e-03	3.7163053626e-01	6.2143178652e-01
              273	6.9373455791e-03	3.7163079279e-01	6.2143186163e-01
              274	6.9370150683e-03	3.7163104844e-01	6.2143193649e-01
              275	6.9366856838e-03	3.7163130322e-01	6.2143201110e-01
              276	6.9363574173e-03	3.7163155713e-01	6.2143208545e-01
              277	6.9360302593e-03	3.7163181019e-01	6.2143215955e-01
              278	6.9357042045e-03	3.7163206240e-01	6.2143223340e-01
              279	6.9353792385e-03	3.7163231376e-01	6.2143230700e-01
              280	6.9350553571e-03	3.7163256428e-01	6.2143238036e-01
              281	6.9347325470e-03	3.7163281398e-01	6.2143245347e-01
              282	6.9344108016e-03	3.7163306285e-01	6.2143252635e-01
              283	6.9340901170e-03	3.7163331090e-01	6.2143259898e-01
              284	6.9337704812e-03	3.7163355814e-01	6.2143267138e-01
              285	6.9334518865e-03	3.7163380458e-01	6.2143274354e-01
              286	6.9331343259e-03	3.7163405021e-01	6.2143281546e-01
              287	6.9328177932e-03	3.7163429505e-01	6.2143288716e-01
              288	6.9325022760e-03	3.7163453911e-01	6.2143295862e-01
              289	6.9321877714e-03	3.7163478238e-01	6.2143302985e-01
              290	6.9318742681e-03	3.7163502487e-01	6.2143310086e-01
              291	6.9315617599e-03	3.7163526660e-01	6.2143317164e-01
              292	6.9312502427e-03	3.7163550756e-01	6.2143324220e-01
              293	6.9309397061e-03	3.7163574776e-01	6.2143331253e-01
              294	6.9306301404e-03	3.7163598721e-01	6.2143338265e-01
              295	6.9303215410e-03	3.7163622591e-01	6.2143345254e-01
