#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(H2)	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)	weightedVolAverage(H2O)
               59	4.4556795235e-03	6.5301116772e-02	3.0991528781e-01	6.2025241998e-01	7.5495911744e-05
               60	4.4555882956e-03	6.5304494144e-02	3.0991246091e-01	6.2025122407e-01	7.6232579947e-05
               61	4.4554996996e-03	6.5307758799e-02	3.0990972723e-01	6.2025006606e-01	7.6948214674e-05
               62	4.4554137383e-03	6.5310910686e-02	3.0990708681e-01	6.2024894597e-01	7.7642792393e-05
               63	4.4553304091e-03	6.5313949985e-02	3.0990453952e-01	6.2024786376e-01	7.8316334385e-05
               64	4.4552497039e-03	6.5316877093e-02	3.0990208502e-01	6.2024681928e-01	7.8968902479e-05
               65	4.4551716102e-03	6.5319692609e-02	3.0989972282e-01	6.2024581237e-01	7.9600596957e-05
               66	4.4550961107e-03	6.5322397334e-02	3.0989745227e-01	6.2024484273e-01	8.0211555241e-05
               67	4.4550231837e-03	6.5324992250e-02	3.0989527255e-01	6.2024391007e-01	8.0801949174e-05
               68	4.4549528035e-03	6.5327478519e-02	3.0989318271e-01	6.2024301399e-01	8.1371983932e-05
               69	4.4548849404e-03	6.5329857469e-02	3.0989118165e-01	6.2024215405e-01	8.1921895785e-05
               70	4.4548195614e-03	6.5332130572e-02	3.0988926816e-01	6.2024132976e-01	8.2451947741e-05
               71	4.4547566300e-03	6.5334299449e-02	3.0988744090e-01	6.2024054059e-01	8.2962429764e-05
               72	4.4546961070e-03	6.5336365846e-02	3.0988569844e-01	6.2023978596e-01	8.3453655546e-05
               73	4.4546379502e-03	6.5338331627e-02	3.0988403922e-01	6.2023906524e-01	8.3925960377e-05
               74	4.4545821149e-03	6.5340198771e-02	3.0988246163e-01	6.2023837778e-01	8.4379700513e-05
               75	4.4545285547e-03	6.5341969335e-02	3.0988096396e-01	6.2023772290e-01	8.4815246107e-05
               76	4.4544772210e-03	6.5343645469e-02	3.0987954445e-01	6.2023709988e-01	8.5232984982e-05
               77	4.4544280636e-03	6.5345229392e-02	3.0987820125e-01	6.2023650798e-01	8.5633316798e-05
               78	4.4543810309e-03	6.5346723386e-02	3.0987693248e-01	6.2023594644e-01	8.6016653218e-05
               79	4.4543360702e-03	6.5348129783e-02	3.0987573623e-01	6.2023541450e-01	8.6383414434e-05
               80	4.4542931275e-03	6.5349450962e-02	3.0987461053e-01	6.2023491135e-01	8.6734029665e-05
               81	4.4542521485e-03	6.5350689330e-02	3.0987355340e-01	6.2023443619e-01	8.7068933131e-05
               82	4.4542130781e-03	6.5351847321e-02	3.0987256281e-01	6.2023398822e-01	8.7388563402e-05
               83	4.4541758611e-03	6.5352927376e-02	3.0987163677e-01	6.2023356663e-01	8.7693360830e-05
               84	4.4541404419e-03	6.5353931957e-02	3.0987077324e-01	6.2023317059e-01	8.7983768857e-05
               85	4.4541067649e-03	6.5354863518e-02	3.0986997020e-01	6.2023279929e-01	8.8260230143e-05
               86	4.4540747748e-03	6.5355724508e-02	3.0986922562e-01	6.2023245191e-01	8.8523185760e-05
               87	4.4540444165e-03	6.5356517364e-02	3.0986853749e-01	6.2023212765e-01	8.8773074870e-05
               88	4.4540156354e-03	6.5357244502e-02	3.0986790383e-01	6.2023182570e-01	8.9010332873e-05
               89	4.4539883773e-03	6.5357908322e-02	3.0986732265e-01	6.2023154526e-01	8.9235392043e-05
               90	4.4539625886e-03	6.5358511187e-02	3.0986679200e-01	6.2023128554e-01	8.9448678654e-05
               91	4.4539382167e-03	6.5359055434e-02	3.0986630996e-01	6.2023104578e-01	8.9650613261e-05
               92	4.4539152095e-03	6.5359543362e-02	3.0986587462e-01	6.2023082519e-01	8.9841610806e-05
               93	4.4538935160e-03	6.5359977225e-02	3.0986548414e-01	6.2023062305e-01	9.0022076946e-05
               94	4.4538730862e-03	6.5360359241e-02	3.0986513667e-01	6.2023043859e-01	9.0192411695e-05
               95	4.4538538711e-03	6.5360691575e-02	3.0986483043e-01	6.2023027111e-01	9.0353004874e-05
               96	4.4538358226e-03	6.5360976350e-02	3.0986456368e-01	6.2023011991e-01	9.0504239762e-05
               97	4.4538188939e-03	6.5361215637e-02	3.0986433470e-01	6.2022998428e-01	9.0646489733e-05
               98	4.4538030393e-03	6.5361411452e-02	3.0986414183e-01	6.2022986356e-01	9.0780118721e-05
               99	4.4537882143e-03	6.5361565765e-02	3.0986398345e-01	6.2022975709e-01	9.0905482277e-05
              100	4.4537743758e-03	6.5361680481e-02	3.0986385797e-01	6.2022966425e-01	9.1022923897e-05
              101	4.4537614816e-03	6.5361757458e-02	3.0986376388e-01	6.2022958440e-01	9.1132779828e-05
              102	4.4537494909e-03	6.5361798496e-02	3.0986369968e-01	6.2022951695e-01	9.1235375073e-05
              103	4.4537383642e-03	6.5361805339e-02	3.0986366394e-01	6.2022946133e-01	9.1331025413e-05
              104	4.4537280630e-03	6.5361779678e-02	3.0986365526e-01	6.2022941696e-01	9.1420036809e-05
              105	4.4537185505e-03	6.5361723138e-02	3.0986367230e-01	6.2022938331e-01	9.1502703608e-05
