#time mass rho rad_par
110 0.00361691129333739 5104.60283239232 0.00553047496067995
120 0.00361346865767185 5098.7657555943 0.00553082869640318
130 0.00361012432883376 5093.03980834638 0.00553119317420641
140 0.00360685142803586 5087.39112159515 0.00553156693708268
150 0.0036036398113177 5081.80961716297 0.00553194846163967
160 0.00360048279071263 5076.28942202328 0.00553233646336129
170 0.00359737520891354 5070.82619143229 0.00553272988297733
180 0.00359431288000726 5065.41642409659 0.00553312784951983
190 0.00359129231800518 5060.05718524449 0.00553352964254049
200 0.00358831057115396 5054.74596181748 0.00553393466036233
210 0.00358536510703701 5049.48056946164 0.00553434239539955
220 0.00358245372999507 5044.25908837505 0.00553475241545266
230 0.00357957451921256 5039.07981618915 0.00553516434933036
240 0.00357672578010637 5033.94123018941 0.00553557787584295
250 0.00357390600836252 5028.84196077593 0.00553599271515156
260 0.00357111385812072 5023.78076547312 0.00553640862201872
270 0.00356834811994678 5018.7565131267 0.00553682538034632
280 0.00356560770018156 5013.76816694033 0.00553724279882793
290 0.00356289160542284 5008.81477254447 0.00553766070738798
300 0.00356019892964868 5003.89544810712 0.00553807895422179
310 0.00355752884257269 4999.00937457037 0.00553849740341586
320 0.00355488058002195 4994.1557877827 0.00553891593290836
330 0.00355225343716347 4989.33397380945 0.00553933443274624
340 0.00354964676106175 4984.54326237575 0.00553975280367824
350 0.0035470599446982 4979.7830218604 0.00554017095592906
360 0.00354449242325888 4975.05265724017 0.00554058880805541
370 0.00354194366883653 4970.35160490526 0.00554100628613261
380 0.00353941318589788 4965.67932836852 0.00554142332300587
390 0.00353690051017581 4961.03531906799 0.00554183985743163
400 0.00353440520400803 4956.41909101493 0.00554225583365052
410 0.00353192685480374 4951.83018036578 0.0055426712007595
420 0.00352946507278633 4947.26814351511 0.00554308591225417
430 0.00352701948926498 4942.73255585076 0.0055434999255991
440 0.00352458975417372 4938.22300910947 0.00554391320193608
450 0.00352217553422884 4933.73910959622 0.0055443257057929
460 0.00351977651269102 4929.28047901731 0.00554473740465406
470 0.00351739238734686 4924.84675204925 0.00554514826881832
480 0.00351502287007617 4920.43757664406 0.00554555827106247
490 0.00351266768530943 4916.05261221672 0.00554596738651554
500 0.00351032656917082 4911.69152901832 0.00554637559244804
510 0.00350799926847948 4907.35400712272 0.00554678286813122
520 0.00350568554071411 4903.03973704861 0.00554718919458754
