#time a1 a2 a3 b1 b2 b3 mt1 fr1 fr2 fr3
200 21.8131411760778 69.9007484868997 38.3012300620834 0.94820148044901 25.4087467885775 95.4734834177348 19.5416190378383 0.00957267083601088 0.0947765055651063 0.149168112725988
300 21.5713726035701 72.1830915563163 39.3764928827781 1.88012951804644 43.2948954812014 106.848720093845 19.4698688470978 0.0188947095941187 0.156810311271512 0.21206813211826
400 21.4865707820606 74.5360995818969 40.5130696577959 3.05833474559269 58.7619475909241 114.023761020471 19.425286099203 0.0305213653616424 0.208799772237075 0.26291210335161
500 21.4760367715544 76.8951136988943 41.6669096069045 4.36846756361226 72.8024397604674 119.584574084007 19.393130347504 0.0432407737146955 0.254037322743708 0.306464210512332
600 21.5095599722746 79.257915077653 42.8339810199441 5.75670375486967 85.9236547394649 124.414775047739 19.3682765868499 0.0564795047435946 0.294302723074782 0.344924168437824
700 21.5722628504335 81.6309248500854 44.0157383637388 7.19377106855968 98.4251207147193 128.89091155298 19.34827552079 0.0699283760558993 0.330694697938132 0.379531837768959
800 21.6560066684919 84.0226496571961 45.2155375878716 8.66239631603815 110.500811389715 133.197347804821 19.3318049156384 0.0834085978640486 0.363951225577654 0.411073940250467
900 21.7554997543503 86.4400146370945 46.435887629067 10.1518307255216 122.284602259339 137.43330767613 19.3180012794575 0.0968127078937689 0.394598073333175 0.440090487640899
1000 21.8673940133607 88.8898279160096 47.6796585419756 11.655172338176 133.873816840511 141.656911818009 19.3063124450051 0.110074988201975 0.423026424642039 0.466973425283405
1100 21.9893491726712 91.3781039218251 48.949438197688 13.1678958653258 145.342041310451 145.904873180491 19.2963422239235 0.123155318052727 0.449537164101508 0.492019264247606
1200 22.1198062005471 93.9107721562166 50.2480369109751 14.6870074477473 156.746853227247 150.202212151368 19.2878028958311 0.136029815100592 0.474367960606533 0.515459614692431
1300 22.2574488048703 96.4926638727908 51.577577165714 16.2105470419037 168.134932987221 154.567339365175 19.2804947975304 0.148685047828493 0.497710551924144 0.537479865595122
1400 22.4011912690458 99.1280420885102 52.939872281371 17.7372020533743 179.544536948449 159.014032672464 19.2741940499656 0.161114553833595 0.519722543545053 0.558231554182322
1500 22.5503997769979 101.821871513459 54.3374381268915 19.2661767963104 191.008474946903 163.554048403799 19.2687727187392 0.173316517237817 0.540535393931963 0.577840624952571
1600 22.704436913302 104.578399811597 55.7722852765668 20.79699673424 202.555169230593 168.19760658394 19.2641088388261 0.185292159135617 0.560260167607967 0.596413222204212
1700 22.8628123451515 107.401938263013 57.2465337616624 22.3294256824498 214.209882458202 172.953976562331 19.2601010411576 0.197044724207224 0.578991771960921 0.614039872556317
1800 23.0252661153348 110.297384076751 58.7628268582208 23.8634157858359 225.995645054349 177.832201829187 19.256684171002 0.208578784440265 0.59681207148741 0.630798595195202
1900 23.1914410024431 113.269018036338 60.3233194106293 25.3990245322671 237.933530620644 182.841007034674 19.2537798625449 0.219899750881398 0.613792294534599 0.646757227630587
2000 23.3609502556439 116.320840713156 61.9299342230858 26.9363854666212 250.043214001509 187.988810237092 19.2513069352142 0.231013532732067 0.629994918056195 0.661975210025841
2100 23.5338708191673 119.458787009659 63.5861855399664 28.4757542890177 262.343928230722 193.284817236983 19.2492572613068 0.241926307642075 0.645475064125719 0.676505016427418
2200 23.7098111455403 122.686795489709 65.2939158265805 30.0173421268996 274.853438480629 198.737645992501 19.2475361473139 0.252644368327755 0.66028173220437 0.690393257995173
2300 23.888791153234 126.010675347482 67.0564792096525 31.5615175068603 287.590248076043 204.357046483972 19.2461574018088 0.263173962955952 0.674458636321036 0.70368151447254
2400 24.0705227048613 129.434973790062 68.8761498601563 33.1085525422582 300.571546136343 210.152424277561 19.245045370584 0.273521266309196 0.688045028381114 0.71640713428673
2500 24.2550883653493 132.966111321923 70.7566948565314 34.6588154229258 313.815217254014 216.134205318511 19.244195304422 0.283692310368936 0.701076298048333 0.728603798904685
2600 24.4424442867282 136.610174557384 72.7015461355678 36.2126652142056 327.339086246008 222.313182173322 19.243585391255 0.293692949307251 0.713584489880729 0.740302006674249
2700 24.6325255797615 140.373415785624 74.7142078381113 37.7704634689442 341.161175073126 228.700858582833 19.2431898410076 0.303528840068537 0.725598718035507 0.751529487572878
2800 24.8251422942218 144.261765063459 76.7978367015537 39.3325504376597 355.299682379211 235.309104785207 19.242965456632 0.313205426693601 0.73714555035705 0.762311532661936
